Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2015,"Cum 2015, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2014,"Total cases reported  2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",States reporting cases during current week (No.) 
Tularemia,2015,14,,-,7,,1,,181,,203,,149,,166,,124,,
"Rabies, human",2015,14,,-,,-,0,,1,,2,,1,,6,,2,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,14,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,14,,-,,-,0,,9,,1,,3,,6,,10,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,14,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus††,2015,14,,-,1,,0,,,-,,-,2,,,-,2,,
Yellow fever,2015,14,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total††",2015,14,,-,23,,2,,164,,170,,135,,134,,131,,
"Hepatitis B, virus infection perinatal",2015,14,,-,3,,1,,33,,48,,40,,,NP,,NP,
"Hantavirus infection (non-HPS)¶,††",2015,14,,NN,,NN,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2015,14,1,,87,,9,,719,,735,,727,,870,,821,,TN (1 )
Measles***,2015,14,3,,144,,4,,669,,187,,55,,220,,63,,WA (3 )
"Hemolytic uremic syndrome, postdiarrheal††",2015,14,1,,23,,3,,238,,329,,274,,290,,266,,AR (1 )
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,14,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen disease††,2015,14,,-,12,,2,,77,,81,,82,,82,,98,,
"Meningococcal disease, invasive†††, unknown serogroup",2015,14,3,,60,,7,,218,,298,,260,,323,,406,,"DC (1 ), VA (1 ), FL (1 )"
"Viral hemorrhagic fever, Lassa fever††,****:",2015,15,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Hansen disease††,2015,15,1,,14,,2,,77,,81,,82,,82,,98,,FL (1 )
"Q fever, acute††",2015,15,,-,17,,2,,132,,137,,113,,110,,106,,
"Poliomyelitis, paralytic",2015,15,,-,,-,,-,,-,1,,,-,,-,,-,
Leptospirosis††,2015,15,,-,4,,0,,26,,,NN,,NN,,NN,,NN,
"Rabies, human",2015,15,,-,,-,0,,1,,2,,1,,6,,2,,
SARS-CoV††,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,
Novel influenza A virus infections§§§,2015,15,,-,1,,20,,3,,21,,313,,14,,4,,
Tularemia,2015,15,,-,7,,2,,181,,203,,149,,166,,124,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,15,,-,,-,0,,9,,1,,3,,6,,10,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,15,3,,20,,5,,110,,142,,161,,257,,280,,"TX (1 ), WA (2 )"
"Polio virus Infection, nonparalytic,††",2015,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,15,,-,,-,,-,8,,8,,15,,4,,10,,
Vancomycin-intermediate Staphylococcus aureus††,2015,15,1,,35,,4,,201,,248,,134,,82,,91,,NY (1 )
"Botulism, other (wound and unspecified)",2015,15,,-,2,,0,,20,,12,,18,,32,,25,,
Typhoid fever,2015,15,3,,99,,6,,322,,338,,354,,390,,467,,"NY (1 ), NYC (1 ), AK (1 )"
Psittacosis††,2015,15,,-,1,,0,,7,,6,,2,,2,,4,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,15,2,,69,,4,,226,,185,,210,,226,,223,,"TN (1 ), AZ (1 )"
Hantavirus Pulmonary Syndrome (HPS)††,2015,15,,-,1,,1,,29,,21,,30,,23,,20,,
Yellow fever,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (staphylococcal)††,2015,15,3,,19,,1,,58,,71,,65,,78,,82,,"MI (1 ), SC (1 ), TN (1 )"
"Hemolytic uremic syndrome, postdiarrheal††",2015,15,,-,22,,3,,240,,329,,274,,290,,266,,
"Meningococcal disease, invasive†††, serogroup B",2015,15,2,,30,,3,,72,,99,,110,,159,,135,,WA (2 )
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,15,,-,62,,4,,201,,222,,205,,145,,200,,
Listeriosis,2015,15,2,,92,,9,,719,,735,,727,,870,,821,,FL (2 )
Streptococcal toxic-shock syndrome††,2015,15,3,,59,,5,,214,,224,,194,,168,,142,,"ME (2 ), MI (1 )"
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,15,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,15,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
Chancroid,2015,15,,-,8,,0,,11,,,-,15,,8,,24,,
Cholera,2015,15,,-,,-,0,,,-,14,,17,,40,,13,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Plague,2015,15,,-,,-,0,,10,,4,,4,,3,,2,,
Measles***,2015,15,1,,145,,4,,669,,187,,55,,220,,63,,FL (1 )
"Arboviral diseases, California serogroup virus disease**,††",2015,15,,-,,-,0,,88,,95,,81,,137,,75,,
Smallpox††,2015,15,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis††,2015,15,,-,6,,1,,384,,784,,123,,151,,179,,
"Botulism, infant",2015,15,1,,30,,2,,118,,136,,123,,97,,80,,NC (1 )
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Anthrax,2015,15,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic††",2015,15,,-,7,,0,,33,,33,,22,,24,,25,,
"Botulism, total",2015,15,1,,37,,2,,153,,152,,168,,153,,112,,
"Influenza-associated pediatric mortality**,††",2015,15,3,,103,,3,,130,,160,,52,,118,,61,,"MN (2 ), TX (1 )"
"Meningococcal disease, invasive†††, other serogroup",2015,15,,-,4,,1,,21,,17,,20,,20,,12,,
"Botulism, foodborne",2015,15,,-,5,,0,,15,,4,,27,,24,,7,,
Vancomycin-resistant Staphylococcus aureus††,2015,15,,-,1,,,-,,-,,-,2,,,-,2,,
"Hepatitis B, virus infection perinatal",2015,15,,-,4,,1,,33,,48,,40,,,NP,,NP,
Trichinellosis††,2015,15,,-,1,,0,,17,,22,,18,,15,,7,,
"Hantavirus infection (non-HPS)¶,††",2015,15,,NN,,NN,0,,,NN,,NN,,NN,,NN,,NN,
"Arboviral diseases, Powassan virus disease**,††",2015,15,,-,,-,0,,8,,12,,7,,16,,8,,
Diphtheria,2015,15,,-,,-,0,,1,,,-,1,,,-,,-,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,15,,-,5,,1,,31,,31,,30,,14,,23,,
"Q fever, total††",2015,15,,-,24,,3,,165,,170,,135,,134,,131,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,15,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Brucellosis,2015,15,1,,7,,2,,98,,99,,114,,79,,115,,FL (1 )
"Meningococcal disease, invasive†††, unknown serogroup",2015,15,2,,63,,7,,217,,298,,260,,323,,406,,"VT (1 ), WA (1 )"
"Rabies, human",2015,16,,-,,-,0,,1,,2,,1,,6,,2,,
"Botulism, other (wound and unspecified)",2015,16,,-,3,,0,,20,,12,,18,,32,,25,,
"Meningococcal disease, invasive†††, other serogroup",2015,16,,-,4,,0,,21,,17,,20,,20,,12,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,16,,-,5,,1,,31,,31,,30,,14,,23,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,16,,-,66,,4,,200,,222,,205,,145,,200,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal††",2015,16,2,,24,,4,,240,,329,,274,,290,,266,,LA (2 )
"Arboviral diseases, Powassan virus disease**,††",2015,16,,-,,-,0,,8,,12,,7,,16,,8,,
"Hepatitis B, virus infection perinatal",2015,16,,-,4,,1,,33,,48,,40,,,NP,,NP,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,16,,-,,-,0,,9,,1,,3,,6,,10,,
"Arboviral diseases, California serogroup virus disease**,††",2015,16,,-,,-,0,,88,,95,,81,,137,,75,,
Toxic-shock syndrome (staphylococcal)††,2015,16,1,,20,,1,,58,,71,,65,,78,,82,,NY (1 )
Brucellosis,2015,16,,-,8,,3,,98,,99,,114,,79,,115,,
Hantavirus Pulmonary Syndrome (HPS)††,2015,16,,-,1,,1,,29,,21,,30,,23,,20,,
Trichinellosis††,2015,16,,-,1,,0,,16,,22,,18,,15,,7,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,16,2,,70,,4,,226,,185,,210,,226,,223,,"FL (1 ), OR (1 )"
"Meningococcal disease, invasive†††, serogroup B",2015,16,,-,30,,3,,73,,99,,110,,159,,135,,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,††",2015,16,5,,108,,2,,130,,160,,52,,118,,61,,"MI (1 ), TX (1 ), CA (2 ), OR (1 )"
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Cyclosporiasis††,2015,16,1,,8,,1,,385,,784,,123,,151,,179,,MD (1 )
Diphtheria,2015,16,,-,,-,0,,1,,,-,1,,,-,,-,
Leptospirosis††,2015,16,,-,4,,0,,26,,,NN,,NN,,NN,,NN,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,16,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Hansen disease††,2015,16,1,,15,,2,,77,,81,,82,,82,,98,,NYC (1 )
SARS-CoV††,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2015,16,,-,,-,,-,,-,,-,,-,1,,,-,
"Botulism, infant",2015,16,1,,34,,2,,118,,136,,123,,97,,80,,TN (1 )
Streptococcal toxic-shock syndrome††,2015,16,2,,65,,5,,214,,224,,194,,168,,142,,"ME (1 ), SC (1 )"
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,16,,-,,-,,-,8,,8,,15,,4,,10,,
"Hantavirus infection (non-HPS)¶,††",2015,16,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Psittacosis††,2015,16,,-,1,,0,,7,,6,,2,,2,,4,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Tularemia,2015,16,,-,9,,2,,181,,203,,149,,166,,124,,
Vancomycin-intermediate Staphylococcus aureus††,2015,16,3,,38,,4,,201,,248,,134,,82,,91,,OH (3 )
"Q fever, total††",2015,16,1,,28,,3,,170,,170,,135,,134,,131,,
Yellow fever,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,16,23,,64,,3,,153,,152,,168,,153,,112,,
Listeriosis,2015,16,3,,97,,11,,719,,735,,727,,870,,821,,"FL (1 ), TN (1 ), ID (1 )"
Cholera,2015,16,,-,,-,0,,,-,14,,17,,40,,13,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Smallpox††,2015,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,16,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, unknown serogroup",2015,16,5,,72,,6,,215,,298,,260,,323,,406,,"OH (4 ), HI (1 )"
Plague,2015,16,,-,,-,0,,10,,4,,4,,3,,2,,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,16,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
"Botulism, foodborne",2015,16,22,,27,,0,,15,,4,,27,,24,,7,,OH (22 )
Chancroid,2015,16,,-,8,,0,,11,,,-,15,,8,,24,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic,††",2015,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,16,,-,21,,5,,111,,142,,161,,257,,280,,
Novel influenza A virus infections§§§,2015,16,,-,1,,25,,3,,21,,313,,14,,4,,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,16,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,16,,-,60,,6,,427,,348,,322,,360,,377,,
"Q fever, chronic††",2015,16,,-,8,,0,,36,,33,,22,,24,,25,,
Vancomycin-resistant Staphylococcus aureus††,2015,16,,-,1,,,-,,-,,-,2,,,-,2,,
"Q fever, acute††",2015,16,1,,20,,3,,134,,137,,113,,110,,106,,OH (1 )
Measles***,2015,16,1,,146,,5,,669,,187,,55,,220,,63,,FL (1 )
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,16,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever,2015,16,3,,108,,7,,323,,338,,354,,390,,467,,"VA (1 ), FL (1 ), OK (1 )"
Cyclosporiasis††,2015,17,,-,9,,1,,386,,784,,123,,151,,179,,
Tularemia,2015,17,,-,10,,3,,182,,203,,149,,166,,124,,
Diphtheria,2015,17,,-,,-,0,,1,,,-,1,,,-,,-,
"Meningococcal disease, invasive†††, other serogroup",2015,17,,-,5,,0,,22,,17,,20,,20,,12,,
Novel influenza A virus infections§§§,2015,17,,-,1,,22,,3,,21,,313,,14,,4,,
Chancroid,2015,17,,-,8,,0,,8,,,-,15,,8,,24,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,17,2,,85,,4,,214,,185,,210,,226,,223,,"PA (1 ), AK (1 )"
"Arboviral diseases, Powassan virus disease**,††",2015,17,,-,,-,0,,8,,12,,7,,16,,8,,
"Hepatitis B, virus infection perinatal",2015,17,1,,9,,1,,33,,48,,40,,,NP,,NP,NE (1 )
"Meningococcal disease, invasive†††, serogroup B",2015,17,,-,32,,3,,75,,99,,110,,159,,135,,
Typhoid fever,2015,17,2,,109,,7,,325,,338,,354,,390,,467,,"NY (1 ), NYC (1 )"
Streptococcal toxic-shock syndrome††,2015,17,5,,70,,5,,214,,224,,194,,168,,142,,"ME (1 ), VA (2 ), ID (2 )"
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Hantavirus infection (non-HPS)¶,††",2015,17,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, unknown serogroup",2015,17,2,,74,,6,,211,,298,,260,,323,,406,,"PA (1 ), CO (1 )"
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,17,,-,67,,6,,429,,348,,322,,360,,377,,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,17,,-,,-,,-,9,,1,,3,,6,,10,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,17,1,,71,,4,,212,,222,,205,,145,,200,,OK (1 )
Psittacosis††,2015,17,,-,1,,0,,7,,6,,2,,2,,4,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Toxic-shock syndrome (staphylococcal)††,2015,17,,-,21,,1,,56,,71,,65,,78,,82,,
"Arboviral diseases, California serogroup virus disease**,††",2015,17,,-,,-,0,,89,,95,,81,,137,,75,,
SARS-CoV††,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen disease††,2015,17,1,,17,,2,,84,,81,,82,,82,,98,,FL (1 )
Cholera,2015,17,,-,,-,0,,,-,14,,17,,40,,13,,
"Q fever, acute††",2015,17,,-,22,,3,,134,,137,,113,,110,,106,,
Measles***,2015,17,,-,146,,7,,669,,187,,55,,220,,63,,
Vancomycin-resistant Staphylococcus aureus††,2015,17,,-,1,,,-,,-,,-,2,,,-,2,,
"Poliomyelitis, paralytic",2015,17,,-,,-,,-,,-,1,,,-,,-,,-,
"Q fever, chronic††",2015,17,1,,9,,0,,36,,33,,22,,24,,25,,TX (1 )
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,17,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Rabies, human",2015,17,,-,,-,0,,1,,2,,1,,6,,2,,
Anthrax,2015,17,,-,,-,,-,,-,,-,,-,1,,,-,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,17,,-,6,,0,,32,,31,,30,,14,,23,,
"Botulism, foodborne",2015,17,,-,27,,0,,15,,4,,27,,24,,7,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,17,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic,††",2015,17,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus††,2015,17,,-,38,,3,,201,,248,,134,,82,,91,,
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Q fever, total††",2015,17,1,,31,,3,,170,,170,,135,,134,,131,,
Yellow fever,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,
Trichinellosis††,2015,17,,-,2,,1,,16,,22,,18,,15,,7,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,17,,-,,-,,-,8,,8,,15,,4,,10,,
"Botulism, infant",2015,17,,-,36,,2,,118,,136,,123,,97,,80,,
Brucellosis,2015,17,3,,15,,3,,98,,99,,114,,79,,115,,"NYC (1 ), TN (1 ), TX (1 )"
"Influenza-associated pediatric mortality**,††",2015,17,3,,111,,2,,130,,160,,52,,118,,61,,"OK (1 ), TX (1 ), CA (1 )"
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,17,,-,22,,5,,112,,142,,161,,257,,280,,
Listeriosis,2015,17,7,,108,,11,,720,,735,,727,,870,,821,,"NY (2 ), OH (2 ), VA (1 ), FL (1 ), AZ (1 )"
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Smallpox††,2015,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2015,17,,-,67,,3,,153,,152,,168,,153,,112,,
"Botulism, other (wound and unspecified)",2015,17,,-,4,,0,,20,,12,,18,,32,,25,,
Leptospirosis††,2015,17,,-,4,,0,,26,,,NN,,NN,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal††",2015,17,1,,28,,4,,242,,329,,274,,290,,266,,KS (1 )
Hantavirus Pulmonary Syndrome (HPS)††,2015,17,,-,1,,1,,29,,21,,30,,23,,20,,
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,17,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,17,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
Plague,2015,17,,-,,-,0,,10,,4,,4,,3,,2,,
"Arboviral diseases, Eastern equine encephalitis virus disease**,††",2015,18,,-,,-,,-,8,,8,,15,,4,,10,,
Vancomycin-resistant Staphylococcus aureus††,2015,18,,-,1,,,-,,-,,-,2,,,-,2,,
"Arboviral diseases, Chikungunya virus neuroinvasive disease**,††",2015,18,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
Toxic-shock syndrome (staphylococcal)††,2015,18,,-,21,,1,,59,,71,,65,,78,,82,,
Streptococcal toxic-shock syndrome††,2015,18,2,,81,,5,,250,,224,,194,,168,,142,,"OH (1 ), NC (1 )"
"Viral hemorrhagic fever, Machupo hemorrhagic fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Leptospirosis††,2015,18,,-,4,,0,,26,,,NN,,NN,,NN,,NN,
"Viral hemorrhagic fever, Sabia-associated hemorrhagic fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Syphilis, congenital (age <1 yr)††,¶¶¶",2015,18,,-,72,,5,,446,,348,,322,,360,,377,,
"Viral hemorrhagic fever, Ebola hemorrhagic fever††,****:",2015,18,,-,,-,,-,6,,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Lassa fever††,****:",2015,18,,-,,-,,-,1,,,NP,,NP,,NP,,NP,
Hansen disease††,2015,18,,-,18,,2,,86,,81,,82,,82,,98,,
"Q fever, chronic††",2015,19,,-,9,,0,,36,,33,,22,,24,,25,,
Vancomycin-intermediate Staphylococcus aureus††,2015,18,1,,39,,3,,206,,248,,134,,82,,91,,NYC (1 )
"Arboviral diseases, Western equine encephalitis virus disease**,††",2015,18,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV††,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2015,18,,-,,-,0,,1,,,-,1,,,-,,-,
Cholera,2015,18,,-,,-,0,,,-,14,,17,,40,,13,,
"Meningococcal disease, invasive†††, other serogroup",2015,18,,-,5,,0,,22,,17,,20,,20,,12,,
Novel influenza A virus infections§§§,2015,18,1,,2,,29,,3,,21,,313,,14,,4,,OH (1 )
"Viral hemorrhagic fever, Crimean-Congo hemorrhagic fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal††",2015,18,,-,27,,4,,242,,329,,274,,290,,266,,
"Rabies, human",2015,18,,-,,-,0,,1,,2,,1,,6,,2,,
"Meningococcal disease, invasive†††, A, C, Y, and W-135",2015,18,2,,26,,4,,115,,142,,161,,257,,280,,"OK (1 ), TX (1 )"
"Q fever, chronic††",2015,18,,-,9,,0,,37,,33,,22,,24,,25,,
"Polio virus Infection, nonparalytic,††",2015,18,,-,,-,,-,,-,,-,,-,,-,,-,
Brucellosis,2015,18,,-,16,,3,,96,,99,,114,,79,,115,,
Plague,2015,18,,-,1,,0,,10,,4,,4,,3,,2,,
"Hepatitis B, virus infection perinatal",2015,18,,-,9,,1,,33,,48,,40,,,NP,,NP,
"Botulism, infant",2015,18,,-,37,,2,,122,,136,,123,,97,,80,,
"Q fever, acute††",2015,18,,-,21,,3,,135,,137,,113,,110,,106,,
Yellow fever,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox††,2015,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2015,18,,-,4,,0,,20,,12,,18,,32,,25,,
"Viral hemorrhagic fever, Guanarito hemorrhagic fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Arboviral diseases, St. Louis encephalitis virus disease**,††",2015,18,,-,,-,,-,9,,1,,3,,6,,10,,
"Arboviral diseases, Powassan virus disease**,††",2015,18,,-,,-,0,,8,,12,,7,,16,,8,,
"Viral hemorrhagic fever, Junin hemorrhagic fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Viral hemorrhagic fever, Marburg fever††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
"Meningococcal disease, invasive†††, unknown serogroup",2015,18,2,,74,,6,,211,,298,,260,,323,,406,,"OH (1 ), NC (1 )"
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), nonserotype b",2015,18,1,,74,,4,,212,,222,,205,,145,,200,,NY (1 )
"Poliomyelitis, paralytic",2015,18,,-,,-,,-,,-,1,,,-,,-,,-,
"Botulism, foodborne",2015,18,,-,27,,0,,15,,4,,27,,24,,7,,
Hantavirus Pulmonary Syndrome (HPS)††,2015,18,,-,1,,1,,29,,21,,30,,23,,20,,
Anthrax,2015,18,,-,,-,,-,,-,,-,,-,1,,,-,
Cyclosporiasis††,2015,18,,-,9,,2,,392,,784,,123,,151,,179,,
"Viral hemorrhagic fever, Lujo virus††,****:",2015,18,,-,,-,,-,,NP,,NP,,NP,,NP,,NP,
Trichinellosis††,2015,18,,-,2,,0,,16,,22,,18,,15,,7,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), unknown serotype",2015,18,3,,88,,4,,214,,185,,210,,226,,223,,"NC (2 ), AZ (1 )"
"Q fever, total††",2015,18,,-,30,,3,,172,,170,,135,,134,,131,,
Listeriosis,2015,18,6,,117,,11,,749,,735,,727,,870,,821,,"MD (1 ), VA (1 ), FL (1 ), TN (1 ), AR (1 ), TX (1 )"
Tularemia,2015,18,2,,12,,3,,183,,203,,149,,166,,124,,"NE (1 ), VA (1 )"
"Botulism, total",2015,18,,-,68,,3,,157,,152,,168,,153,,112,,
Chancroid,2015,18,,-,8,,0,,8,,,-,15,,8,,24,,
Typhoid fever,2015,18,4,,114,,7,,344,,338,,354,,390,,467,,"NYC (2 ), PA (1 ), MD (1 )"
"Hantavirus infection (non-HPS)¶,††",2015,18,,NN,,NN,,-,,NN,,NN,,NN,,NN,,NN,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,18,,-,6,,1,,32,,31,,30,,14,,23,,
Psittacosis††,2015,18,,-,1,,0,,8,,6,,2,,2,,4,,
"Influenza-associated pediatric mortality**,††",2015,18,2,,113,,2,,130,,160,,52,,118,,61,,"SD (1 ), AK (1 )"
"Arboviral diseases, California serogroup virus disease**,††",2015,18,,-,,-,0,,89,,95,,81,,137,,75,,
Measles***,2015,18,3,,165,,9,,669,,187,,55,,220,,63,,FL (3 )
"Meningococcal disease, invasive†††, serogroup B",2015,18,,-,34,,3,,75,,99,,110,,159,,135,,
"Haemophilus influenzae,§§ invasive disease (age <5 yrs), serotype b",2015,19,,-,6,,1,,34,,31,,30,,14,,23,,
"Meningococcal disease, invasive†††, other serogroup",2015,19,,-,5,,0,,23,,17,,20,,20,,12,,
"Arboviral diseases, California serogroup virus disease**,††",2015,19,,-,,-,0,,89,,95,,81,,137,,75,,
Anthrax,2015,23,,-,,-,,-,,-,,-,,-,1,,,-,
Toxic-shock syndrome (staphylococcal)††,2015,19,,-,21,,1,,59,,71,,65,,78,,82,,
Cholera,2015,19,,-,,-,0,,,-,14,,17,,40,,13,,
