Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2016,"Cum 2016, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2015,"Total cases reported  2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",States reporting cases during current week (No.) 
"Botulism, foodborne",2016,16,,-,4,,1,,37,,15,,4,,27,,24,,
"Hepatitis B, virus infection perinatal",2016,16,,-,7,,1,,34,,47,,48,,40,,,NP,
"Botulism, infant",2016,16,2,,31,,2,,132,,127,,136,,123,,97,,"PA (1 ), KY (1 )"
Hansen's disease**,2016,16,,-,11,,2,,84,,88,,81,,82,,82,,
Psittacosis**,2016,16,,-,1,,0,,6,,8,,6,,2,,2,,
Vancomycin-resistant Staphylococcus aureus**,2016,16,,-,,-,,-,1,,,-,,-,2,,,-,
Cyclosporiasis**,2016,16,1,,9,,1,,634,,388,,784,,123,,151,,NYC (1 )
Leptospirosis**,2016,16,2,,7,,0,,36,,38,,,NN,,NN,,NN,NYC (2 )
"Influenza-associated pediatric mortality**,***",2016,16,4,,54,,3,,130,,141,,160,,52,,118,,"NH (1 ), OR (1 ), CA (1 ), TN (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2016,16,1,,36,,4,,245,,250,,329,,274,,290,,ID (1 )
"Poliomyelitis, paralytic",2016,16,,-,,-,,-,,-,,-,1,,,-,,-,
Streptococcal toxic-shock syndrome**,2016,16,23,,88,,6,,291,,259,,224,,194,,168,,"ME (1 ), VT (1 ), OH (1 ), GA (20 )"
Diphtheria,2016,16,,-,,-,0,,,-,1,,,-,1,,,-,
"Q fever, chronic**",2016,16,,-,4,,0,,21,,36,,33,,22,,24,,
Cholera,2016,16,,-,,-,0,,2,,5,,14,,17,,40,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,16,,-,4,,1,,17,,32,,21,,30,,23,,
Yellow fever,2016,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2016,17,1,,34,,2,,135,,127,,136,,123,,97,,NYC (1 )
Toxic-shock syndrome (staphylococcal)**,2016,17,,-,6,,1,,55,,59,,71,,65,,78,,
Anthrax,2016,17,,-,,-,,-,,-,,-,,-,,-,1,,
Smallpox,2016,17,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2016,17,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2016,17,,-,,-,0,,,-,1,,,-,1,,,-,
Brucellosis,2016,17,1,,24,,3,,120,,92,,99,,114,,79,,CA (1 )
"Q fever, total**",2016,17,,-,16,,3,,149,,168,,170,,135,,134,,
"Botulism, other (wound and unspecified)",2016,17,,-,4,,0,,21,,19,,12,,18,,32,,
Listeriosis,2016,17,4,,129,,11,,755,,769,,735,,727,,870,,"MA (1 ), RI (1 ), NY (1 ), VA (1 )"
"Hemolytic uremic syndrome, postdiarrheal**",2016,17,,-,39,,4,,248,,250,,329,,274,,290,,
Chancroid,2016,17,1,,4,,0,,12,,,-,,-,15,,8,,WA (1 )
"Rabies, human",2016,17,,-,,-,0,,1,,1,,2,,1,,6,,
Cholera,2016,17,,-,,-,0,,2,,5,,14,,17,,40,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,17,,-,5,,1,,17,,32,,21,,30,,23,,
Hansen's disease**,2016,17,1,,13,,2,,85,,88,,81,,82,,82,,FL (1 )
"Poliomyelitis, paralytic",2016,17,,-,,-,,-,,-,,-,1,,,-,,-,
"Syphilis, congenital****",2016,17,,-,83,,6,,475,,458,,348,,322,,360,,
Plague,2016,17,,-,,-,0,,13,,10,,4,,4,,3,,
Streptococcal toxic-shock syndrome**,2016,17,3,,93,,6,,300,,259,,224,,194,,168,,"ME (1 ), NY (1 ), WY (1 )"
Vancomycin-resistant Staphylococcus aureus**,2016,17,,-,,-,,-,1,,,-,,-,2,,,-,
Psittacosis**,2016,17,,-,1,,0,,7,,8,,6,,2,,2,,
"Q fever, acute**",2016,17,,-,12,,3,,128,,132,,137,,113,,110,,
Yellow fever,2016,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2016,17,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever,2016,17,,-,80,,7,,367,,349,,338,,354,,390,,
Leptospirosis**,2016,17,,-,7,,0,,36,,38,,,NN,,NN,,NN,
Vancomycin-intermediate Staphylococcus aureus**,2016,17,3,,36,,4,,174,,212,,248,,134,,82,,"NY (1 ), NYC (1 ), OH (1 )"
Tularemia,2016,17,1,,15,,3,,309,,180,,203,,149,,166,,MO (1 )
"Q fever, chronic**",2016,17,,-,4,,0,,21,,36,,33,,22,,24,,
Cyclosporiasis**,2016,17,,-,8,,2,,634,,388,,784,,123,,151,,
"Influenza-associated pediatric mortality**,***",2016,17,4,,58,,3,,130,,141,,160,,52,,118,,"DC (1 ), KY (3 )"
Trichinellosis**,2016,17,,-,4,,0,,11,,14,,22,,18,,15,,
"Botulism, total",2016,17,1,,42,,4,,193,,161,,152,,168,,153,,
"Hepatitis B, virus infection perinatal",2016,17,,-,7,,1,,35,,47,,48,,40,,,NP,
"Botulism, foodborne",2016,17,,-,4,,1,,37,,15,,4,,27,,24,,
Trichinellosis**,2016,18,,-,4,,0,,11,,14,,22,,18,,15,,
"Hepatitis B, virus infection perinatal",2016,18,,-,8,,1,,35,,47,,48,,40,,,NP,
"Influenza-associated pediatric mortality**,***",2016,18,3,,61,,3,,130,,141,,160,,52,,118,,"WI (1 ), TX (1 ), NM (1 )"
"Botulism, other (wound and unspecified)",2016,18,,-,5,,0,,21,,19,,12,,18,,32,,
Diphtheria,2016,18,,-,,-,0,,,-,1,,,-,1,,,-,
Hansen's disease**,2016,18,,-,14,,2,,85,,88,,81,,82,,82,,
"Q fever, acute**",2016,18,,-,13,,3,,128,,132,,137,,113,,110,,
Leptospirosis**,2016,18,1,,10,,0,,36,,38,,,NN,,NN,,NN,NYC (1 )
"Hemolytic uremic syndrome, postdiarrheal**",2016,18,4,,45,,5,,248,,250,,329,,274,,290,,"NY (1 ), NE (1 ), VA (1 ), ID (1 )"
"Polio virus Infection, nonparalytic**",2016,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, chronic**",2016,18,,-,4,,0,,21,,36,,33,,22,,24,,
Smallpox,2016,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2016,18,,-,4,,1,,37,,15,,4,,27,,24,,
Cholera,2016,18,,-,,-,0,,2,,5,,14,,17,,40,,
Vancomycin-intermediate Staphylococcus aureus**,2016,18,3,,40,,4,,175,,212,,248,,134,,82,,"OH (1 ), VA (1 ), TX (1 )"
Typhoid fever,2016,18,1,,84,,7,,367,,349,,338,,354,,390,,KY (1 )
"Botulism, total",2016,18,,-,46,,4,,193,,161,,152,,168,,153,,
Brucellosis,2016,18,,-,27,,3,,121,,92,,99,,114,,79,,
"Poliomyelitis, paralytic",2016,18,,-,,-,,-,,-,,-,1,,,-,,-,
Chancroid,2016,18,2,,6,,0,,12,,,-,,-,15,,8,,"WA (1 ), CA (1 )"
Cyclosporiasis**,2016,18,1,,10,,2,,635,,388,,784,,123,,151,,IA (1 )
Plague,2016,18,,-,,-,0,,13,,10,,4,,4,,3,,
Psittacosis**,2016,18,,-,1,,0,,7,,8,,6,,2,,2,,
"Q fever, total**",2016,18,,-,17,,4,,149,,168,,170,,135,,134,,
Listeriosis,2016,18,5,,137,,11,,756,,769,,735,,727,,870,,"NYC (1 ), GA (1 ), FL (2 ), TX (1 )"
Toxic-shock syndrome (staphylococcal)**,2016,18,1,,9,,1,,55,,59,,71,,65,,78,,SC (1 )
"Rabies, human",2016,18,,-,,-,0,,1,,1,,2,,1,,6,,
"Syphilis, congenital****",2016,18,,-,90,,6,,485,,458,,348,,322,,360,,
SARS-CoV,2016,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2016,18,,-,37,,2,,135,,127,,136,,123,,97,,
Tularemia,2016,18,,-,15,,4,,309,,180,,203,,149,,166,,
Streptococcal toxic-shock syndrome**,2016,18,,-,97,,5,,300,,259,,224,,194,,168,,
Vancomycin-resistant Staphylococcus aureus**,2016,18,,-,,-,,-,1,,,-,,-,2,,,-,
Anthrax,2016,18,,-,,-,,-,,-,,-,,-,,-,1,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,18,,-,5,,1,,17,,32,,21,,30,,23,,
Yellow fever,2016,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2016,19,,-,,-,0,,1,,1,,2,,1,,6,,
SARS-CoV,2016,19,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2016,19,,-,,-,0,,,-,1,,,-,1,,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2016,19,,-,45,,4,,249,,250,,329,,274,,290,,
Chancroid,2016,19,,-,7,,0,,12,,,-,,-,15,,8,,
"Q fever, chronic**",2016,19,,-,4,,0,,22,,36,,33,,22,,24,,
"Botulism, infant",2016,19,,-,39,,2,,135,,127,,136,,123,,97,,
Yellow fever,2016,19,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital****",2016,19,,-,97,,6,,488,,458,,348,,322,,360,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,19,,-,5,,1,,17,,32,,21,,30,,23,,
Cyclosporiasis**,2016,19,,-,11,,3,,635,,388,,784,,123,,151,,
"Hepatitis B, virus infection perinatal",2016,19,,-,9,,1,,35,,47,,48,,40,,,NP,
"Poliomyelitis, paralytic",2016,19,,-,,-,,-,,-,,-,1,,,-,,-,
"Q fever, acute**",2016,19,,-,17,,3,,128,,132,,137,,113,,110,,
Trichinellosis**,2016,19,,-,4,,0,,11,,14,,22,,18,,15,,
"Botulism, other (wound and unspecified)",2016,19,,-,5,,0,,21,,19,,12,,18,,32,,
Smallpox,2016,19,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-resistant Staphylococcus aureus**,2016,19,,-,,-,,-,1,,,-,,-,2,,,-,
Psittacosis**,2016,19,,-,2,,0,,7,,8,,6,,2,,2,,
Plague,2016,19,,-,,-,0,,13,,10,,4,,4,,3,,
Tularemia,2016,19,,-,16,,5,,309,,180,,203,,149,,166,,
Vancomycin-intermediate Staphylococcus aureus**,2016,19,1,,42,,3,,175,,212,,248,,134,,82,,LA (1 )
Cholera,2016,19,,-,,-,0,,2,,5,,14,,17,,40,,
"Botulism, foodborne",2016,19,,-,4,,0,,37,,15,,4,,27,,24,,
"Influenza-associated pediatric mortality**,***",2016,19,1,,62,,2,,130,,141,,160,,52,,118,,CA (1 )
Typhoid fever,2016,19,3,,90,,7,,367,,349,,338,,354,,390,,"NYC (2 ), CA (1 )"
Toxic-shock syndrome (staphylococcal)**,2016,19,,-,9,,1,,59,,59,,71,,65,,78,,
"Polio virus Infection, nonparalytic**",2016,19,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2016,19,1,,10,,0,,36,,38,,,NN,,NN,,NN,NYC (1 )
Listeriosis,2016,19,2,,144,,12,,754,,769,,735,,727,,870,,"FL (1 ), TX (1 )"
"Botulism, total",2016,19,,-,48,,3,,193,,161,,152,,168,,153,,
Anthrax,2016,19,,-,,-,,-,,-,,-,,-,,-,1,,
Hansen's disease**,2016,19,1,,16,,2,,86,,88,,81,,82,,82,,FL (1 )
"Q fever, total**",2016,19,,-,21,,3,,150,,168,,170,,135,,134,,
Streptococcal toxic-shock syndrome**,2016,19,1,,105,,5,,321,,259,,224,,194,,168,,ME (1 )
Brucellosis,2016,19,,-,28,,3,,121,,92,,99,,114,,79,,
Brucellosis,2016,20,1,,32,,3,,124,,92,,99,,114,,79,,FL (1 )
"Hemolytic uremic syndrome, postdiarrheal**",2016,20,1,,52,,5,,265,,250,,329,,274,,290,,FL (1 )
"Q fever, total**",2016,20,,-,22,,4,,158,,168,,170,,135,,134,,
Yellow fever,2016,20,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2016,20,5,,156,,12,,762,,769,,735,,727,,870,,"NY (3 ), NYC (1 ), HI (1 )"
"Botulism, total",2016,20,,-,51,,3,,193,,161,,152,,168,,153,,
Chancroid,2016,20,,-,7,,0,,12,,,-,,-,15,,8,,
"Q fever, chronic**",2016,20,,-,4,,0,,27,,36,,33,,22,,24,,
"Influenza-associated pediatric mortality**,***",2016,20,2,,64,,2,,130,,141,,160,,52,,118,,"OK (1 ), NV (1 )"
Toxic-shock syndrome (staphylococcal)**,2016,20,,-,10,,1,,59,,59,,71,,65,,78,,
"Polio virus Infection, nonparalytic**",2016,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2016,20,,-,,-,0,,1,,1,,2,,1,,6,,
"Q fever, acute**",2016,20,,-,18,,3,,131,,132,,137,,113,,110,,
Cyclosporiasis**,2016,20,,-,13,,4,,643,,388,,784,,123,,151,,
Trichinellosis**,2016,20,,-,4,,0,,11,,14,,22,,18,,15,,
Anthrax,2016,20,,-,,-,,-,,-,,-,,-,,-,1,,
"Syphilis, congenital****",2016,20,,-,102,,7,,489,,458,,348,,322,,360,,
Cholera,2016,20,,-,,-,0,,2,,5,,14,,17,,40,,
Vancomycin-intermediate Staphylococcus aureus**,2016,20,,-,43,,3,,181,,212,,248,,134,,82,,
"Botulism, other (wound and unspecified)",2016,20,,-,5,,0,,20,,19,,12,,18,,32,,
Plague,2016,20,,-,,-,0,,13,,10,,4,,4,,3,,
Vancomycin-resistant Staphylococcus aureus**,2016,20,,-,,-,,-,1,,,-,,-,2,,,-,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,20,,-,5,,1,,17,,32,,21,,30,,23,,
"Botulism, foodborne",2016,20,,-,4,,0,,37,,15,,4,,27,,24,,
Leptospirosis**,2016,20,,-,14,,0,,38,,38,,,NN,,NN,,NN,
SARS-CoV,2016,20,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease**,2016,20,,-,17,,2,,87,,88,,81,,82,,82,,
Smallpox,2016,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Poliomyelitis, paralytic",2016,20,,-,,-,,-,,-,,-,1,,,-,,-,
"Botulism, infant",2016,20,,-,42,,2,,136,,127,,136,,123,,97,,
Diphtheria,2016,20,,-,,-,,-,,-,1,,,-,1,,,-,
Tularemia,2016,20,,-,19,,5,,319,,180,,203,,149,,166,,
Typhoid fever,2016,20,,-,94,,7,,371,,349,,338,,354,,390,,
Psittacosis**,2016,20,,-,2,,0,,7,,8,,6,,2,,2,,
Streptococcal toxic-shock syndrome**,2016,20,2,,115,,5,,326,,259,,224,,194,,168,,"RI (1 ), OH (1 )"
"Hepatitis B, virus infection perinatal",2016,20,,-,10,,1,,36,,47,,48,,40,,,NP,
"Q fever, total**",2016,21,1,,26,,4,,156,,168,,170,,135,,134,,
"Hepatitis B, virus infection perinatal",2016,21,,-,10,,1,,37,,47,,48,,40,,,NP,
Listeriosis,2016,21,5,,167,,12,,766,,769,,735,,727,,870,,"OH (2 ), TN (1 ), MS (1 ), TX (1 )"
Tularemia,2016,21,1,,21,,6,,323,,180,,203,,149,,166,,NE (1 )
Diphtheria,2016,21,,-,,-,,-,,-,1,,,-,1,,,-,
Vancomycin-resistant Staphylococcus aureus**,2016,21,,-,,-,,-,1,,,-,,-,2,,,-,
Hansen's disease**,2016,21,,-,17,,2,,88,,88,,81,,82,,82,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,21,,-,4,,1,,17,,32,,21,,30,,23,,
"Poliomyelitis, paralytic",2016,21,,-,,-,,-,,-,,-,1,,,-,,-,
"Syphilis, congenital****",2016,21,,-,115,,7,,489,,458,,348,,322,,360,,
Chancroid,2016,21,,-,7,,0,,11,,,-,,-,15,,8,,
Leptospirosis**,2016,21,,-,14,,0,,38,,38,,,NN,,NN,,NN,
"Polio virus Infection, nonparalytic**",2016,21,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2016,21,,-,4,,0,,37,,15,,4,,27,,24,,
Smallpox,2016,21,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2016,21,,-,,-,0,,2,,5,,14,,17,,40,,
"Q fever, acute**",2016,21,,-,22,,3,,122,,132,,137,,113,,110,,
"Botulism, total",2016,21,,-,51,,3,,193,,161,,152,,168,,153,,
Brucellosis,2016,21,1,,33,,2,,126,,92,,99,,114,,79,,AR (1 )
Yellow fever,2016,21,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2016,21,2,,14,,5,,645,,388,,784,,123,,151,,"GA (1 ), FL (1 )"
"Rabies, human",2016,21,,-,,-,0,,1,,1,,2,,1,,6,,
Toxic-shock syndrome (staphylococcal)**,2016,21,,-,10,,1,,64,,59,,71,,65,,78,,
"Botulism, other (wound and unspecified)",2016,21,,-,5,,0,,20,,19,,12,,18,,32,,
"Influenza-associated pediatric mortality**,***",2016,21,4,,68,,1,,130,,141,,160,,52,,118,,"IA (2 ), NY (1 ), WI (1 )"
Psittacosis**,2016,21,,-,2,,0,,4,,8,,6,,2,,2,,
"Q fever, chronic**",2016,21,1,,4,,1,,34,,36,,33,,22,,24,,ID (1 )
SARS-CoV,2016,21,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever,2016,21,,-,96,,7,,367,,349,,338,,354,,390,,
"Botulism, infant",2016,21,,-,42,,2,,136,,127,,136,,123,,97,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,21,,-,56,,5,,273,,250,,329,,274,,290,,
Streptococcal toxic-shock syndrome**,2016,21,,-,115,,5,,335,,259,,224,,194,,168,,
Anthrax,2016,21,,-,,-,,-,,-,,-,,-,,-,1,,
Plague,2016,21,,-,,-,0,,13,,10,,4,,4,,3,,
Vancomycin-intermediate Staphylococcus aureus**,2016,21,,-,43,,4,,184,,212,,248,,134,,82,,
Trichinellosis**,2016,21,,-,4,,0,,11,,14,,22,,18,,15,,
Chancroid,2016,22,,-,7,,0,,11,,,-,,-,15,,8,,
"Hepatitis B, virus infection perinatal",2016,22,2,,12,,1,,37,,47,,48,,40,,,NP,AL (2 )
"Botulism, total",2016,22,1,,54,,3,,195,,161,,152,,168,,153,,
Streptococcal toxic-shock syndrome**,2016,22,,-,115,,4,,335,,259,,224,,194,,168,,
"Syphilis, congenital****",2016,22,,-,116,,8,,489,,458,,348,,322,,360,,
Hansen's disease**,2016,22,2,,19,,1,,88,,88,,81,,82,,82,,"NYC (1 ), PA (1 )"
Plague,2016,22,,-,,-,0,,13,,10,,4,,4,,3,,
Leptospirosis**,2016,22,,-,16,,0,,38,,38,,,NN,,NN,,NN,
Cyclosporiasis**,2016,22,1,,16,,6,,645,,388,,784,,123,,151,,CA (1 )
Vancomycin-resistant Staphylococcus aureus**,2016,22,,-,,-,,-,,-,,-,,-,2,,,-,
"Botulism, foodborne",2016,22,,-,4,,0,,37,,15,,4,,27,,24,,
Diphtheria,2016,22,,-,,-,,-,,-,1,,,-,1,,,-,
"Q fever, chronic**",2016,22,,-,4,,0,,34,,36,,33,,22,,24,,
Typhoid fever,2016,22,2,,106,,7,,367,,349,,338,,354,,390,,"VA (1 ), SC (1 )"
"Botulism, other (wound and unspecified)",2016,22,,-,5,,0,,20,,19,,12,,18,,32,,
"Q fever, total**",2016,22,,-,34,,4,,156,,168,,170,,135,,134,,
"Botulism, infant",2016,22,1,,45,,2,,138,,127,,136,,123,,97,,OH (1 )
Smallpox,2016,22,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2016,22,,-,,-,,-,,-,,-,,-,,-,1,,
Vancomycin-intermediate Staphylococcus aureus**,2016,22,,-,43,,3,,184,,212,,248,,134,,82,,
Cholera,2016,22,,-,,-,0,,12,,5,,14,,17,,40,,
"Q fever, acute**",2016,22,,-,30,,3,,122,,132,,137,,113,,110,,
"Influenza-associated pediatric mortality**,***",2016,22,2,,70,,1,,130,,141,,160,,52,,118,,"FL (1 ), TX (1 )"
"Poliomyelitis, paralytic",2016,22,,-,,-,,-,,-,,-,1,,,-,,-,
Psittacosis**,2016,22,,-,2,,0,,4,,8,,6,,2,,2,,
Brucellosis,2016,22,1,,41,,2,,127,,92,,99,,114,,79,,AR (1 )
Listeriosis,2016,22,1,,176,,13,,766,,769,,735,,727,,870,,PA (1 )
SARS-CoV,2016,22,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (staphylococcal)**,2016,22,1,,12,,1,,64,,59,,71,,65,,78,,TN (1 )
Trichinellosis**,2016,22,1,,5,,0,,11,,14,,22,,18,,15,,TX (1 )
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,22,,-,4,,1,,17,,32,,21,,30,,23,,
Yellow fever,2016,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Polio virus Infection, nonparalytic**",2016,22,,-,,-,,-,,-,,-,,-,,-,,-,
"Rabies, human",2016,22,,-,,-,0,,1,,1,,2,,1,,6,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,22,2,,61,,5,,273,,250,,329,,274,,290,,"KS (1 ), TN (1 )"
Tularemia,2016,22,,-,27,,8,,314,,180,,203,,149,,166,,
"Q fever, chronic**",2016,23,,-,6,,0,,35,,36,,33,,22,,24,,
Chancroid,2016,24,,-,7,,0,,11,,,-,,-,15,,8,,
Vancomycin-resistant Staphylococcus aureus**,2016,23,,-,,-,0,,1,,,-,,-,2,,,-,
"Influenza-associated pediatric mortality**,***",2016,23,1,,71,,1,,130,,141,,160,,52,,118,,CA (1 )
Streptococcal toxic-shock syndrome**,2016,23,1,,127,,4,,335,,259,,224,,194,,168,,MT (1 )
Diphtheria,2016,23,,-,,-,,-,,-,1,,,-,1,,,-,
"Q fever, acute**",2016,23,1,,33,,3,,123,,132,,137,,113,,110,,TN (1 )
"Botulism, other (wound and unspecified)",2016,23,,-,6,,0,,20,,19,,12,,18,,32,,
SARS-CoV,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, total**",2016,23,1,,39,,4,,158,,168,,170,,135,,134,,
Smallpox,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,
Typhoid fever,2016,23,2,,119,,7,,367,,349,,338,,354,,390,,"NYC (1 ), AZ (1 )"
"Botulism, foodborne",2016,23,1,,5,,0,,37,,15,,4,,27,,24,,OK (1 )
Trichinellosis**,2016,23,,-,5,,0,,11,,14,,22,,18,,15,,
Toxic-shock syndrome (staphylococcal)**,2016,23,,-,13,,1,,66,,59,,71,,65,,78,,
Plague,2016,23,,-,,-,0,,13,,10,,4,,4,,3,,
Brucellosis,2016,23,2,,46,,2,,127,,92,,99,,114,,79,,"NY (1 ), OH (1 )"
Tularemia,2016,23,3,,34,,8,,314,,180,,203,,149,,166,,"MO (1 ), TN (1 ), TX (1 )"
"Botulism, total",2016,23,1,,58,,3,,195,,161,,152,,168,,153,,
"Polio virus Infection, nonparalytic**",2016,23,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2016,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, infant",2016,23,,-,47,,2,,138,,127,,136,,123,,97,,
Hansen's disease**,2016,23,,-,19,,1,,88,,88,,81,,82,,82,,
Psittacosis**,2016,23,1,,3,,0,,4,,8,,6,,2,,2,,MI (1 )
"Rabies, human",2016,23,,-,,-,0,,1,,1,,2,,1,,6,,
Vancomycin-intermediate Staphylococcus aureus**,2016,23,3,,47,,3,,184,,212,,248,,134,,82,,"OH (1 ), MO (1 ), LA (1 )"
Cholera,2016,23,,-,,-,0,,2,,5,,14,,17,,40,,
"Poliomyelitis, paralytic",2016,23,,-,,-,,-,,-,,-,1,,,-,,-,
Cyclosporiasis**,2016,23,,-,19,,14,,645,,388,,784,,123,,151,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,23,3,,67,,5,,273,,250,,329,,274,,290,,"NY (1 ), OK (2 )"
Chancroid,2016,23,,-,7,,0,,11,,,-,,-,15,,8,,
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,23,,-,4,,1,,17,,32,,21,,30,,23,,
Listeriosis,2016,23,2,,183,,13,,767,,769,,735,,727,,870,,"VA (1 ), FL (1 )"
Leptospirosis**,2016,23,,-,15,,0,,38,,38,,,NN,,NN,,NN,
"Hepatitis B, virus infection perinatal",2016,23,,-,13,,1,,39,,47,,48,,40,,,NP,
"Syphilis, congenital****",2016,23,,-,126,,7,,489,,458,,348,,322,,360,,
Anthrax,2016,23,,-,,-,,-,,-,,-,,-,,-,1,,
"Influenza-associated pediatric mortality**,***",2016,24,,-,71,,1,,130,,141,,160,,52,,118,,
Brucellosis,2016,24,1,,47,,2,,126,,92,,99,,114,,79,,TX (1 )
Trichinellosis**,2016,24,,-,5,,0,,11,,14,,22,,18,,15,,
SARS-CoV,2016,24,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2016,24,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox,2016,24,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2016,24,,-,5,,0,,37,,15,,4,,27,,24,,
"Botulism, other (wound and unspecified)",2016,24,,-,6,,0,,20,,19,,12,,18,,32,,
"Q fever, chronic**",2016,24,,-,7,,0,,35,,36,,33,,22,,24,,
"Hemolytic uremic syndrome, postdiarrheal**",2016,24,2,,70,,6,,272,,250,,329,,274,,290,,AR (2 )
"Q fever, total**",2016,24,,-,43,,4,,158,,168,,170,,135,,134,,
Diphtheria,2016,24,,-,,-,,-,,-,1,,,-,1,,,-,
Psittacosis**,2016,24,,-,3,,0,,4,,8,,6,,2,,2,,
Typhoid fever,2016,24,1,,123,,7,,367,,349,,338,,354,,390,,NY (1 )
"Hepatitis B, virus infection perinatal",2016,24,1,,14,,1,,39,,47,,48,,40,,,NP,CA (1 )
"Hantavirus infections**, Hantavirus Pulmonary Syndrome (HPS)",2016,24,,-,5,,1,,17,,32,,21,,30,,23,,
Cyclosporiasis**,2016,24,1,,24,,18,,645,,388,,784,,123,,151,,ME (1 )
Anthrax,2016,24,,-,,-,,-,,-,,-,,-,,-,1,,
"Poliomyelitis, paralytic",2016,24,,-,,-,,-,,-,,-,1,,,-,,-,
Cholera,2016,24,,-,,-,0,,2,,5,,14,,17,,40,,
Leptospirosis**,2016,24,,-,15,,0,,40,,38,,,NN,,NN,,NN,
"Botulism, total",2016,24,1,,62,,3,,195,,161,,152,,168,,153,,
"Q fever, acute**",2016,24,,-,36,,3,,123,,132,,137,,113,,110,,
"Polio virus Infection, nonparalytic**",2016,24,,-,,-,,-,,-,,-,,-,,-,,-,
Plague,2016,24,,-,,-,0,,13,,10,,4,,4,,3,,
"Syphilis, congenital****",2016,24,,-,131,,8,,489,,458,,348,,322,,360,,
Tularemia,2016,24,,-,39,,9,,314,,180,,203,,149,,166,,
Listeriosis,2016,24,8,,199,,14,,766,,769,,735,,727,,870,,"NY (2 ), NYC (1 ), PA (1 ), OH (2 ), FL (1 ), AR (1 )"
Hansen's disease**,2016,24,2,,21,,1,,89,,88,,81,,82,,82,,"NYC (1 ), FL (1 )"
Toxic-shock syndrome (staphylococcal)**,2016,24,,-,13,,1,,66,,59,,71,,65,,78,,
Vancomycin-resistant Staphylococcus aureus**,2016,24,,-,,-,0,,1,,,-,,-,2,,,-,
Streptococcal toxic-shock syndrome**,2016,24,,-,130,,4,,335,,259,,224,,194,,168,,
"Rabies, human",2016,24,,-,,-,0,,1,,1,,2,,1,,6,,
Vancomycin-intermediate Staphylococcus aureus**,2016,24,2,,49,,3,,185,,212,,248,,134,,82,,FL (2 )
"Botulism, infant",2016,24,1,,51,,3,,138,,127,,136,,123,,97,,MT (1 )
