Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2018,"Cum 2018, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported for pervious years  2017,"Total cases reported for pervious years 2017, flag",Total cases reported for pervious years 2016,"Total cases reported for pervious years 2016, flag",Total cases reported for pervious years 2015,"Total cases reported for pervious years 2015, flag",Total cases reported for pervious years 2014,"Total cases reported for pervious years 2014, flag",Total cases reported for pervious years 2013,"Total cases reported for pervious years 2013, flag",States reporting cases during current week (No.) 
Plague,2018,15,,-,,-,0,,1,,4,,16,,10,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,15,,-,,-,,-,62,,35,,55,,80,,85,,
Chancroid,2018,15,1,,2,,0,,7,,11,,11,,,-,,-,SC (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever¶, total",2018,15,,-,16,,3,,144,,164,,156,,168,,170,,
Hantavirus pulmonary syndrome¶ ,2018,15,,-,2,,1,,12,,31,,21,,32,,21,,
Brucellosis,2018,15,1,,9,,3,,121,,127,,126,,92,,99,,OH (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,15,1,,44,,4,,150,,196,,175,,128,,141,,AZ (1 )
"Syphilis, congenital",2018,15,,-,112,,10,,781,,633,,493,,458,,348,,
"Meningococcal disease, Serogroup B",2018,15,1,,15,,2,,71,,86,,111,,89,,99,,NY (1 )
"Poliomyelitis, paralytic",2018,15,,-,,-,,-,,-,,-,,-,,-,1,,
Psittacosis¶,2018,15,,-,1,,0,,5,,12,,4,,8,,6,,
Novel Influenza A virus infections§§,2018,15,,-,,-,0,,67,,23,,7,,3,,21,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,15,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fever***, Sabia virus",2018,15,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Serogroups ACWY",2018,15,,-,26,,3,,81,,126,,120,,123,,142,,
Tularemia,2018,15,1,,5,,2,,216,,230,,314,,180,,203,,MO (1 )
"Polio virus Infection, nonparalytic¶",2018,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, perinatal infection",2018,15,,-,5,,1,,31,,34,,37,,47,,48,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,15,,-,,-,,-,5,,7,,6,,8,,8,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,15,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,15,,-,,-,0,,33,,22,,7,,8,,12,,
"Viral hemorrhagic fevers***, Lassa virus",2018,15,,-,,-,,-,,-,,-,1,,1,,,NP,
"Q fever¶, acute",2018,15,,-,11,,3,,114,,132,,122,,132,,137,,
Typhoid fever ,2018,15,3,,62,,6,,341,,376,,367,,349,,338,,"PA (1 ), TX (2 )"
"Botulism, foodborne",2018,15,,-,2,,1,,16,,31,,37,,15,,4,,
Cyclosporiasis¶,2018,15,,-,10,,1,,1122,,535,,645,,388,,784,,
"Viral hemorrhagic fevers***, Junin virus",2018,15,,-,,-,,-,,-,,-,,-,,NP,,NP,
Leptospirosis¶,2018,15,,-,14,,1,,59,,78,,40,,38,,,NN,
"Botulism, total",2018,15,1,,40,,4,,151,,201,,195,,161,,152,,
Hantavirus pulmonary syndrome¶ ,2018,16,,-,2,,1,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fever***, Marburg virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, total",2018,16,,-,44,,4,,154,,201,,195,,161,,152,,
"Meningococcal disease, Serogroup B",2018,16,,-,15,,2,,73,,86,,111,,89,,99,,
Vancomycin-resistant Staphylococcus aureus¶,2018,16,,-,,-,,-,,-,,-,3,,,-,,-,
"Q fever¶, chronic",2018,16,1,,6,,1,,34,,32,,34,,36,,33,,NE (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,16,,-,45,,4,,155,,196,,175,,128,,141,,
Yellow fever,2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
Toxic-shock syndrome (other than Streptococcal)¶,2018,16,,-,7,,1,,30,,40,,64,,59,,71,,
"Hepatitis B, perinatal infection",2018,16,,-,5,,1,,31,,34,,37,,47,,48,,
Cholera,2018,16,,-,,-,0,,4,,15,,5,,5,,14,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,16,2,,19,,4,,105,,108,,183,,212,,248,,"PA (1 ), OH (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,16,,-,,-,0,,1,,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Lassa virus",2018,16,,-,,-,,-,,-,,-,1,,1,,,NP,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,16,1,,20,,4,,299,,307,,274,,250,,329,,NM (1 )
"Viral hemorrhagic fever***, Sabia virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Viral hemorrhagic fevers***, Machupo virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,16,,-,,-,0,,70,,15,,11,,11,,22,,
Anthrax,2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Ebola virus ",2018,16,,-,,-,,-,,-,,-,,-,4,,,NP,
"Q fever¶, total",2018,16,2,,26,,4,,155,,164,,156,,168,,170,,
"Botulism, infant",2018,16,,-,38,,3,,117,,144,,138,,127,,136,,
"Meningococcal disease, Unknown serogroup",2018,16,2,,60,,4,,180,,142,,120,,196,,298,,"FL (1 ), OR (1 )"
Smallpox,2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2018,16,,-,2,,1,,18,,31,,37,,15,,4,,
Novel Influenza A virus infections§§,2018,16,,-,,-,0,,67,,23,,7,,3,,21,,
Leptospirosis¶,2018,16,,-,15,,1,,60,,78,,40,,38,,,NN,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,16,,-,,-,0,,11,,8,,23,,10,,1,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,16,,-,,-,0,,33,,22,,7,,8,,12,,
Psittacosis¶,2018,16,,-,1,,0,,5,,12,,4,,8,,6,,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,16,2,,90,,4,,238,,187,,167,,39,,34,,"MS (1 ), AK (1 )"
Hansen's disease¶,2018,16,,-,5,,1,,109,,78,,89,,88,,81,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,16,,-,,-,,-,62,,35,,55,,80,,85,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Guanarito virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Q fever¶, acute",2018,16,1,,20,,3,,121,,132,,122,,132,,137,,NE (1 )
Paratyphoid fever¶¶,2018,16,1,,6,,,NA,,NA,,NA,,NA,,NA,,NA,NY (1 )
"Meningococcal disease, Other serogroups",2018,16,2,,9,,0,,19,,21,,21,,25,,17,,WA (2 )
Typhoid fever ,2018,16,2,,64,,7,,341,,376,,367,,349,,338,,"NY (1 ), VA (1 )"
"Syphilis, congenital",2018,16,,-,121,,9,,781,,633,,493,,458,,348,,
"Rabies, human",2018,16,,-,1,,,-,2,,,-,2,,1,,2,,
"Polio virus Infection, nonparalytic¶",2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2018,16,,-,,-,0,,,-,,-,,-,1,,,-,
Tularemia,2018,16,2,,7,,2,,219,,230,,314,,180,,203,,ID (2 )
Trichinellosis¶,2018,16,,-,,-,0,,8,,26,,14,,14,,22,,
"Botulism, other (wound and unspecified)",2018,16,,-,4,,0,,19,,26,,20,,19,,12,,
Plague,2018,16,,-,,-,0,,1,,4,,16,,10,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,16,,-,,-,,-,5,,7,,6,,8,,8,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,16,2,,7,,1,,24,,30,,29,,40,,31,,"OH (1 ), WA (1 )"
"Viral hemorrhagic fevers***, Lujo virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,16,,-,43,,5,,120,,85,,188,,667,,187,,
"Meningococcal disease, Serogroups ACWY",2018,16,,-,27,,3,,81,,126,,120,,123,,142,,
Streptococcal toxic-shock syndrome¶,2018,16,3,,106,,9,,347,,283,,335,,259,,224,,"VT (1 ), NY (1 ), OH (1 )"
"Viral hemorrhagic fevers***, Junin virus",2018,16,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,16,2,,46,,2,,162,,159,,135,,266,,233,,"TX (1 ), NM (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,16,1,,8,,2,,152,,247,,896,,,NN,,NN,ME (1 )
"Poliomyelitis, paralytic",2018,16,,-,,-,,-,,-,,-,,-,,-,1,,
"Influenza-associated pediatric mortality¶,**",2018,16,4,,150,,4,,126,,82,,130,,141,,160,,"GA (1 ), NM (1 ), CA (1 ), NYC (1 )"
Brucellosis,2018,16,1,,11,,3,,123,,127,,126,,92,,99,,NY (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,16,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2018,16,,-,2,,0,,7,,11,,11,,,-,,-,
Listeriosis,2018,16,6,,125,,11,,840,,786,,768,,769,,735,,"MD (1 ), VA (2 ), FL (2 ), TX (1 )"
Cyclosporiasis¶,2018,16,2,,14,,1,,1121,,535,,645,,388,,784,,"WY (1 ), AZ (1 )"
"Hepatitis B, perinatal infection",2018,17,,-,5,,1,,31,,34,,37,,47,,48,,
"Syphilis, congenital",2018,17,,-,128,,9,,791,,633,,493,,458,,348,,
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,17,,-,,-,0,,,-,6,,3,,,NN,,NN,
Novel Influenza A virus infections§§,2018,17,,-,,-,0,,67,,23,,7,,3,,21,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,17,,-,,-,0,,63,,35,,55,,80,,85,,
Brucellosis,2018,17,,-,15,,3,,135,,127,,126,,92,,99,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis¶,2018,17,,-,1,,0,,5,,12,,4,,8,,6,,
"Botulism, total",2018,17,,-,48,,5,,158,,201,,195,,161,,152,,
"Botulism, infant",2018,17,,-,40,,3,,121,,144,,138,,127,,136,,
"Meningococcal disease, Serogroups ACWY",2018,17,1,,30,,3,,82,,126,,120,,123,,142,,RI (1 )
"Viral hemorrhagic fever***, Sabia virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
Yellow fever,2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
Paratyphoid fever¶¶,2018,17,,-,12,,,NA,,NA,,NA,,NA,,NA,,NA,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,17,,-,,-,,-,5,,7,,6,,8,,8,,
"Meningococcal disease, Other serogroups",2018,17,,-,9,,0,,19,,21,,21,,25,,17,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,17,1,,53,,2,,168,,159,,135,,266,,233,,TX (1 )
"Q fever¶, chronic",2018,17,,-,6,,1,,35,,32,,34,,36,,33,,
"Viral hemorrhagic fever***, Marburg virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Meningococcal disease, Unknown serogroup",2018,17,3,,63,,3,,179,,142,,120,,196,,298,,"PA (1 ), FL (1 ), TX (1 )"
Hantavirus pulmonary syndrome¶ ,2018,17,,-,2,,1,,12,,31,,21,,32,,21,,
Listeriosis,2018,17,3,,132,,11,,871,,786,,768,,769,,735,,"PA (1 ), OH (1 ), MO (1 )"
"Viral hemorrhagic fevers***, Machupo virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
Typhoid fever ,2018,17,1,,73,,7,,371,,376,,367,,349,,338,,CT (1 )
"Influenza-associated pediatric mortality¶,**",2018,17,3,,152,,4,,127,,82,,130,,141,,160,,"IL (1 ), TX (1 ), NV (1 )"
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,17,1,,10,,3,,155,,247,,896,,,NN,,NN,NY (1 )
Cyclosporiasis¶,2018,17,1,,17,,2,,1245,,535,,645,,388,,784,,CO (1 )
Smallpox,2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,17,2,,25,,5,,313,,307,,274,,250,,329,,"NY (1 ), MO (1 )"
"Rabies, human",2018,17,,-,1,,,-,2,,,-,2,,1,,2,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,17,,-,6,,1,,26,,30,,29,,40,,31,,
"Meningococcal disease, Serogroup B",2018,17,,-,16,,2,,73,,86,,111,,89,,99,,
Trichinellosis¶,2018,17,,-,,-,0,,9,,26,,14,,14,,22,,
Leptospirosis¶,2018,17,,-,19,,1,,65,,78,,40,,38,,,NN,
"Viral hemorrhagic fevers***, Guanarito virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
Tularemia,2018,17,,-,8,,3,,220,,230,,314,,180,,203,,
Hansen's disease¶,2018,17,,-,6,,1,,129,,78,,89,,88,,81,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,17,,-,,-,,-,,-,,-,,-,4,,,NP,
Measles††,2018,17,3,,51,,7,,121,,85,,188,,667,,187,,MO (3 )
Plague,2018,17,,-,,-,0,,1,,4,,16,,10,,4,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,17,,-,,-,0,,11,,8,,23,,10,,1,,
"Polio virus Infection, nonparalytic¶",2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, other (wound and unspecified)",2018,17,,-,4,,0,,19,,26,,20,,19,,12,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,17,5,,97,,4,,237,,187,,167,,39,,34,,"NY (1 ), FL (2 ), OK (1 ), AK (1 )"
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
Diphtheria,2018,17,,-,,-,0,,,-,,-,,-,1,,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,17,,-,,-,,-,,-,,-,1,,1,,,NP,
"Q fever¶, total",2018,17,,-,30,,4,,161,,164,,156,,168,,170,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,17,,-,,-,0,,77,,15,,11,,11,,22,,
Cholera,2018,17,,-,,-,0,,4,,15,,5,,5,,14,,
Chancroid,2018,17,,-,2,,0,,7,,11,,11,,,-,,-,
"Q fever¶, acute",2018,17,,-,24,,3,,126,,132,,122,,132,,137,,
Anthrax,2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Junin virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,17,,-,4,,2,,18,,31,,37,,15,,4,,
Streptococcal toxic-shock syndrome¶,2018,17,1,,110,,9,,349,,283,,335,,259,,224,,MA (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,17,,-,,-,0,,34,,22,,7,,8,,12,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,17,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus¶,2018,17,,-,19,,4,,112,,108,,183,,212,,248,,
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,17,1,,55,,4,,170,,196,,175,,128,,141,,OK (1 )
Toxic-shock syndrome (other than Streptococcal)¶,2018,17,,-,7,,1,,30,,40,,64,,59,,71,,
"Viral hemorrhagic fevers***, Lujo virus",2018,17,,-,,-,,-,,-,,-,,-,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus¶,2018,17,,-,,-,,-,,-,,-,3,,,-,,-,
"Poliomyelitis, paralytic",2018,17,,-,,-,,-,,-,,-,,-,,-,1,,
Brucellosis,2018,18,1,,22,,3,,121,,127,,126,,92,,99,,TX (1 )
Psittacosis¶,2018,18,,-,3,,0,,5,,12,,4,,8,,6,,
Cholera,2018,18,,-,,-,0,,4,,15,,5,,5,,14,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
Chancroid,2018,18,,-,2,,0,,7,,11,,11,,,-,,-,
Plague,2018,18,,-,,-,0,,1,,4,,16,,10,,4,,
"Hepatitis B, perinatal infection",2018,18,,-,5,,1,,31,,34,,37,,47,,48,,
Tularemia,2018,18,,-,7,,4,,219,,230,,314,,180,,203,,
Paratyphoid fever¶¶,2018,18,,-,9,,,NA,,NA,,NA,,NA,,NA,,NA,
Anthrax,2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
Novel Influenza A virus infections§§,2018,18,,-,,-,0,,66,,23,,7,,3,,21,,
"Haemophilus influenzae, invasive disease, age <5 years, Unknown serotype",2018,18,1,,95,,4,,252,,187,,167,,39,,34,,MD (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,18,,-,,-,0,,11,,8,,23,,10,,1,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,18,1,,55,,2,,168,,159,,135,,266,,233,,TX (1 )
Vancomycin-resistant Staphylococcus aureus¶,2018,18,,-,,-,,-,,-,,-,3,,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,18,,-,1,,1,,34,,22,,7,,8,,12,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,18,,-,7,,1,,29,,40,,64,,59,,71,,
"Viral hemorrhagic fevers***, Ebola virus ",2018,18,,-,,-,,-,,-,,-,,-,4,,,NP,
"Meningococcal disease, Other serogroups",2018,18,,-,9,,0,,19,,21,,21,,25,,17,,
"Polio virus Infection, nonparalytic¶",2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
Trichinellosis¶,2018,18,,-,,-,0,,8,,26,,14,,14,,22,,
Vancomycin-resistant Staphylococcus aureus¶,2018,19,,-,,-,,-,,-,,-,3,,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Eastern equine encephalitis virus disease",2018,18,,-,,-,,-,5,,7,,6,,8,,8,,
"Q fever¶, total",2018,18,,-,32,,4,,160,,164,,156,,168,,170,,
"Meningococcal disease, Unknown serogroup",2018,18,1,,65,,4,,184,,142,,120,,196,,298,,FL (1 )
Streptococcal toxic-shock syndrome¶,2018,18,7,,121,,8,,347,,283,,335,,259,,224,,"VT (1 ), NY (2 ), OH (1 ), VA (2 ), GA (1 )"
Leptospirosis¶,2018,18,,-,15,,1,,57,,78,,40,,38,,,NN,
"Poliomyelitis, paralytic",2018,18,,-,,-,,-,,-,,-,,-,,-,1,,
Hansen's disease¶,2018,18,,-,7,,1,,85,,78,,89,,88,,81,,
Severe acute respiratory syndrome-associated coronavirus disease (SARS-CoV),2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Influenza-associated pediatric mortality¶,**",2018,18,2,,154,,3,,126,,82,,130,,141,,160,,WI (2 )
"Botulism, other (wound and unspecified)",2018,18,,-,5,,0,,19,,26,,20,,19,,12,,
Vancomycin-intermediate Staphylococcus aureus¶,2018,18,,-,19,,4,,105,,108,,183,,212,,248,,
"Syphilis, congenital",2018,18,,-,139,,9,,805,,633,,493,,458,,348,,
"Meningococcal disease, Serogroup B",2018,18,,-,16,,3,,73,,86,,111,,89,,99,,
"Viral hemorrhagic fevers***, Junin virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Crimean-Congo hemorrhagic fever virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,18,,-,4,,2,,18,,31,,37,,15,,4,,
"Botulism, infant",2018,18,,-,40,,3,,116,,144,,138,,127,,136,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,18,,-,,-,0,,77,,15,,11,,11,,22,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,18,,-,10,,3,,155,,247,,896,,,NN,,NN,
Yellow fever,2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lassa virus",2018,18,,-,,-,,-,,-,,-,1,,1,,,NP,
"Botulism, total",2018,18,,-,49,,4,,153,,201,,195,,161,,152,,
Smallpox,2018,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fevers***, Lujo virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
Cyclosporiasis¶,2018,18,,-,16,,2,,1093,,535,,645,,388,,784,,
Hantavirus pulmonary syndrome¶ ,2018,18,,-,2,,1,,12,,31,,21,,32,,21,,
"Viral hemorrhagic fevers***, Machupo virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Rabies, human",2018,18,,-,1,,0,,2,,,-,2,,1,,2,,
Typhoid fever ,2018,18,1,,69,,7,,321,,376,,367,,349,,338,,CO (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,18,2,,62,,4,,169,,196,,175,,128,,141,,TX (2 )
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,18,,-,6,,1,,26,,30,,29,,40,,31,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,18,,-,,-,0,,63,,35,,55,,80,,85,,
"Viral hemorrhagic fever***, Sabia virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
Measles††,2018,18,3,,62,,8,,121,,85,,188,,667,,187,,"CT (1 ), FL (2 )"
"Meningococcal disease, Serogroups ACWY",2018,18,,-,31,,3,,82,,126,,120,,123,,142,,
"Q fever¶, chronic",2018,18,,-,6,,1,,33,,32,,34,,36,,33,,
Diphtheria,2018,18,,-,,-,0,,,-,,-,,-,1,,,-,
"Viral hemorrhagic fever***, Marburg virus",2018,18,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,18,2,,28,,5,,289,,307,,274,,250,,329,,"TN (1 ), OR (1 )"
"Q fever¶, acute",2018,18,,-,26,,3,,127,,132,,122,,132,,137,,
Listeriosis,2018,18,4,,145,,11,,871,,786,,768,,769,,735,,"NY (2 ), CO (1 ), OR (1 )"
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,18,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Viral hemorrhagic fevers***, Lassa virus",2018,19,,-,,-,,-,,-,,-,1,,1,,,NP,
"Viral hemorrhagic fevers***, Junin virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Western equine encephalitis virus disease",2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis¶,2018,19,1,,22,,4,,1157,,535,,645,,388,,784,,MD (1 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, La Crosse virus disease ",2018,19,,-,,-,0,,63,,35,,55,,80,,85,,
"Poliomyelitis, paralytic",2018,19,,-,,-,,-,,-,,-,,-,,-,1,,
Trichinellosis¶,2018,19,,-,,-,0,,8,,26,,14,,14,,22,,
Psittacosis¶,2018,19,,-,3,,0,,5,,12,,4,,8,,6,,
"Haemophilus influenzae, invasive disease, age <5 years, Serotype b",2018,19,1,,7,,1,,26,,30,,29,,40,,31,,WA (1 )
"Haemophilus influenzae, invasive disease, age <5 years, Non-b serotype ",2018,19,1,,64,,4,,168,,196,,175,,128,,141,,WA (1 )
"Hantavirus infection, non-hantavirus pulmonary syndrome¶",2018,19,,-,,-,0,,,-,6,,3,,,NN,,NN,
"Meningococcal disease, Serogroup B",2018,19,,-,20,,2,,73,,86,,111,,89,,99,,
"Haemophilus influenzae, invasive disease, age <5 years, Nontypeable",2018,19,,-,56,,2,,168,,159,,135,,266,,233,,
"Viral hemorrhagic fever***, Sabia virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Polio virus Infection, nonparalytic¶",2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
Cholera,2018,19,,-,,-,0,,4,,15,,5,,5,,14,,
Novel Influenza A virus infections§§,2018,19,,-,,-,0,,66,,23,,7,,3,,21,,
"Viral hemorrhagic fever***, Marburg virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
Diphtheria,2018,19,,-,,-,0,,,-,,-,,-,1,,,-,
"Q fever¶, chronic",2018,19,,-,6,,1,,35,,32,,34,,36,,33,,
Toxic-shock syndrome (other than Streptococcal)¶,2018,19,,-,8,,1,,30,,40,,64,,59,,71,,
"Rabies, human",2018,19,,-,1,,0,,2,,,-,2,,1,,2,,
Tularemia,2018,19,,-,7,,5,,220,,230,,314,,180,,203,,
"Botulism, infant",2018,19,,-,46,,2,,120,,144,,138,,127,,136,,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, St. Louis encephalitis virus disease",2018,19,,-,,-,0,,11,,8,,23,,10,,1,,
"Syphilis, congenital",2018,19,,-,154,,9,,829,,633,,493,,458,,348,,
Brucellosis,2018,19,,-,25,,3,,124,,127,,126,,92,,99,,
Measles††,2018,19,2,,66,,12,,121,,85,,188,,667,,187,,NY (2 )
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Jamestown Canyon virus disease ",2018,19,,-,,-,0,,76,,15,,11,,11,,22,,
Typhoid fever ,2018,19,2,,85,,7,,359,,376,,367,,349,,338,,"NYC (1 ), AZ (1 )"
Listeriosis,2018,19,3,,152,,12,,886,,786,,768,,769,,735,,"OH (1 ), FL (2 )"
"Viral hemorrhagic fevers***, Machupo virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Botulism, foodborne",2018,19,,-,4,,1,,18,,31,,37,,15,,4,,
"Botulism, total",2018,19,,-,55,,3,,157,,201,,195,,161,,152,,
"Viral hemorrhagic fevers***, Guanarito virus",2018,19,,-,,-,,-,,-,,-,,-,,NP,,NP,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Chikungunya virus disease",2018,19,,-,11,,3,,155,,247,,896,,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal¶",2018,19,1,,35,,4,,294,,307,,274,,250,,329,,MN (1 )
Smallpox,2018,19,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases, neuroinvasive and  nonneuroinvasive¶, Powassan virus disease",2018,19,,-,1,,1,,34,,22,,7,,8,,12,,
Leptospirosis¶,2018,19,,-,16,,1,,62,,78,,40,,38,,,NN,
