Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2014,"Cum 2014, flag",5-year weekly average†,"5-year weekly average†, flag",Total cases reported  2013,"Total cases reported  2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",Total cases reported 2011,"Total cases reported 2011, flag",Total cases reported 2010,"Total cases reported 2010, flag",Total cases reported 2009,"Total cases reported 2009, flag",States reporting cases during current week (No.) 
Brucellosis,2014,15,,-,5,,3,,103,,114,,79,,115,,115,,
Chancroid,2014,15,1,,5,,0,,11,,15,,8,,24,,28,,TX (1 )
Cholera,2014,15,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,15,,-,17,,1,,792,,123,,151,,179,,141,,
Diphtheria,2014,15,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,15,,-,6,,0,,21,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,15,,-,51,,4,,197,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,15,2,,91,,4,,214,,210,,226,,223,,178,,"NY (1 ), CA (1 )"
Hansen disease§,2014,15,,-,11,,2,,72,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,15,,-,2,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,15,2,,18,,3,,263,,274,,290,,266,,242,,"TN (1 ), ID (1 )"
"Hepatitis B, virus infection perinatal",2014,15,,-,9,,1,,59,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,15,1,,77,,2,,164,,52,,118,,61,,358,,NYC (1 )
Leptospirosis,2014,15,,-,1,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,15,2,,92,,10,,709,,727,,870,,821,,851,,OH (2 )
Measles§§,2014,15,2,,112,,4,,189,,55,,220,,63,,71,,CA (2 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,15,1,,39,,6,,122,,161,,257,,280,,301,,RI (1 )
"Meningococcal disease, invasive¶¶, serogroup B",2014,15,1,,18,,3,,86,,110,,159,,135,,174,,NC (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,15,,-,4,,1,,15,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,15,2,,88,,8,,313,,260,,323,,406,,482,,"AL (1 ), CA (1 )"
Novel influenza A virus infections***,2014,15,,-,,-,71,,21,,313,,14,,4,,43774,,
Plague,2014,15,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,15,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,15,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,15,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,15,,-,19,,2,,160,,135,,134,,131,,113,,
"Q fever, acute",2014,15,,-,12,,2,,121,,113,,110,,106,,93,,
"Q fever, chronic",2014,15,,-,7,,0,,39,,22,,24,,25,,20,,
"Rabies, human",2014,15,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,15,,-,,-,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,15,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,15,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,15,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,15,3,,42,,5,,143,,194,,168,,142,,161,,"ME (1 ), VT (1 ), OH (1 )"
"Syphilis, congenital (age <1 yr)§§§",2014,15,,-,27,,6,,251,,322,,360,,377,,423,,
Tetanus,2014,15,,-,5,,1,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,15,,-,16,,1,,69,,65,,78,,82,,74,,
Trichinellosis,2014,15,,-,1,,0,,19,,18,,15,,7,,13,,
Tularemia,2014,15,,-,3,,1,,200,,149,,166,,124,,93,,
Typhoid fever,2014,15,,-,56,,6,,333,,354,,390,,467,,397,,
Vancomycin-intermediate Staphylococcus aureus§,2014,15,1,,56,,4,,228,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,15,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,15,8,,79,,9,,1179,,1111,,832,,846,,789,,CA (8 )
Viral hemorrhagic fever¶¶¶,2014,15,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,15,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,16,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,16,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,16,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,16,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,16,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,16,,-,27,,3,,149,,168,,153,,112,,118,,
"Botulism, foodborne",2014,16,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,16,,-,23,,2,,130,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,16,,-,4,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,16,3,,8,,3,,103,,114,,79,,115,,115,,"FL (1 ), TX (1 ), CA (1 )"
Chancroid,2014,16,,-,5,,0,,11,,15,,8,,24,,28,,
Cholera,2014,16,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,16,,-,17,,1,,792,,123,,151,,179,,141,,
Diphtheria,2014,16,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,16,,-,7,,1,,20,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,16,,-,54,,4,,194,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,16,1,,97,,4,,222,,210,,226,,223,,178,,NYC (1 )
Hansen disease§,2014,16,2,,14,,2,,72,,82,,82,,98,,103,,"MD (1 ), KY (1 )"
Hantavirus pulmonary syndrome§,2014,16,,-,4,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,16,,-,18,,4,,282,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,16,1,,10,,1,,58,,40,,,U,,U,,U,WI (1 )
"Influenza-associated pediatric mortality§,††",2014,16,3,,80,,2,,164,,52,,118,,61,,358,,"NY (1 ), LA (1 ), NJ (1 )"
Leptospirosis,2014,16,,-,1,,,-,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,16,9,,100,,11,,709,,727,,870,,821,,851,,"NYC (1 ), PA (2 ), OH (1 ), MD (1 ), FL (1 ), AR (1 ), WA (1 ), OR (1 )"
Measles§§,2014,16,,-,120,,4,,189,,55,,220,,63,,71,,
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,16,,-,39,,5,,126,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,16,,-,20,,3,,89,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,16,,-,4,,0,,15,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,16,,-,93,,8,,311,,260,,323,,406,,482,,
Novel influenza A virus infections***,2014,16,,-,,-,123,,21,,313,,14,,4,,43774,,
Plague,2014,16,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,16,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,16,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,16,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,16,,-,21,,3,,162,,135,,134,,131,,113,,
"Q fever, acute",2014,16,,-,14,,2,,123,,113,,110,,106,,93,,
"Q fever, chronic",2014,16,,-,7,,0,,39,,22,,24,,25,,20,,
"Rabies, human",2014,16,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,16,,-,,-,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,16,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,16,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,16,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,16,1,,44,,4,,144,,194,,168,,142,,161,,NC (1 )
"Syphilis, congenital (age <1 yr)§§§",2014,16,,-,29,,6,,248,,322,,360,,377,,423,,
Tetanus,2014,16,,-,5,,1,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,16,,-,16,,1,,70,,65,,78,,82,,74,,
Trichinellosis,2014,16,,-,1,,0,,19,,18,,15,,7,,13,,
Tularemia,2014,16,1,,4,,2,,200,,149,,166,,124,,93,,TX (1 )
Typhoid fever,2014,16,4,,68,,7,,336,,354,,390,,467,,397,,"RI (1 ), NYC (2 ), NC (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,16,2,,60,,3,,227,,134,,82,,91,,78,,NY (2 )
Vancomycin-resistant Staphylococcus aureus§,2014,16,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,16,3,,84,,10,,1182,,1111,,832,,846,,789,,"FL (2 ), TX (1 )"
Viral hemorrhagic fever¶¶¶,2014,16,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,16,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,17,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,17,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,17,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,17,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,17,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,17,1,,30,,3,,149,,168,,153,,112,,118,,
"Botulism, foodborne",2014,17,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,17,1,,26,,2,,130,,123,,97,,80,,83,,TX (1 )
"Botulism, other (wound and unspecified)",2014,17,,-,4,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,17,,-,10,,3,,104,,114,,79,,115,,115,,
Chancroid,2014,17,,-,4,,0,,11,,15,,8,,24,,28,,
Cholera,2014,17,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,17,,-,17,,1,,792,,123,,151,,179,,141,,
Diphtheria,2014,17,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,17,,-,7,,0,,20,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,17,1,,58,,4,,194,,205,,145,,200,,236,,AR (1 )
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,17,2,,100,,4,,222,,210,,226,,223,,178,,"NY (1 ), NC (1 )"
Hansen disease§,2014,17,,-,15,,2,,72,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,17,,-,4,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,17,1,,22,,4,,282,,274,,290,,266,,242,,FL (1 )
"Hepatitis B, virus infection perinatal",2014,17,,-,10,,1,,58,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,17,2,,82,,2,,164,,52,,118,,61,,358,,VA (2 )
Leptospirosis,2014,17,,-,1,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,17,5,,110,,11,,709,,727,,870,,821,,851,,"NYC (2 ), OH (1 ), CO (1 ), WA (1 )"
Measles§§,2014,17,14,,134,,5,,189,,55,,220,,63,,71,,OH (14 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,17,,-,39,,5,,126,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,17,1,,21,,3,,89,,110,,159,,135,,174,,NY (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,17,,-,5,,0,,15,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,17,3,,97,,7,,311,,260,,323,,406,,482,,"NY (1 ), TX (2 )"
Novel influenza A virus infections***,2014,17,,-,,-,174,,21,,313,,14,,4,,43774,,
Plague,2014,17,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,17,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,17,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,17,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,17,3,,25,,3,,161,,135,,134,,131,,113,,
"Q fever, acute",2014,17,2,,16,,3,,122,,113,,110,,106,,93,,"MI (1 ), CO (1 )"
"Q fever, chronic",2014,17,1,,9,,0,,39,,22,,24,,25,,20,,NYC (1 )
"Rabies, human",2014,17,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,17,,-,,-,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,17,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,17,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,17,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,17,,-,45,,5,,144,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,17,,-,30,,6,,252,,322,,360,,377,,423,,
Tetanus,2014,17,,-,5,,0,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,17,,-,16,,1,,70,,65,,78,,82,,74,,
Trichinellosis,2014,17,,-,1,,1,,19,,18,,15,,7,,13,,
Tularemia,2014,17,1,,6,,2,,200,,149,,166,,124,,93,,MT (1 )
Typhoid fever,2014,17,2,,73,,7,,336,,354,,390,,467,,397,,"NYC (1 ), FL (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,17,,-,60,,3,,226,,134,,82,,91,,78,,
Vancomycin-resistant Staphylococcus aureus§,2014,17,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,17,7,,91,,11,,1182,,1111,,832,,846,,789,,"MD (1 ), WV (1 ), FL (5 )"
Viral hemorrhagic fever¶¶¶,2014,17,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,17,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,18,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,18,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,18,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,18,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,18,,-,,-,0,,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,18,,-,34,,3,,152,,168,,153,,112,,118,,
"Botulism, foodborne",2014,18,,-,,-,0,,5,,27,,24,,7,,10,,
"Botulism, infant",2014,18,,-,29,,2,,133,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,18,,-,5,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,18,,-,11,,3,,104,,114,,79,,115,,115,,
Chancroid,2014,18,,-,5,,0,,11,,15,,8,,24,,28,,
Cholera,2014,18,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,18,,-,17,,2,,792,,123,,151,,179,,141,,
Diphtheria,2014,18,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,18,,-,7,,1,,20,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,18,,-,59,,5,,200,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,18,3,,107,,4,,216,,210,,226,,223,,178,,"NY (1 ), FL (1 ), AK (1 )"
Hansen disease§,2014,18,,-,16,,2,,74,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,18,,-,4,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,18,,-,24,,4,,289,,274,,290,,266,,242,,
"Hepatitis B, virus infection perinatal",2014,18,1,,13,,1,,60,,40,,,U,,U,,U,VA (1 )
"Influenza-associated pediatric mortality§,††",2014,18,,-,82,,2,,164,,52,,118,,61,,358,,
Leptospirosis,2014,18,,-,2,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,18,8,,124,,11,,707,,727,,870,,821,,851,,"NY (1 ), NYC (2 ), PA (2 ), OH (1 ), SC (1 ), WA (1 )"
Measles§§,2014,18,20,,161,,5,,186,,55,,220,,63,,71,,"PA (1 ), OH (19 )"
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,18,,-,41,,5,,132,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,18,1,,22,,3,,92,,110,,159,,135,,174,,VA (1 )
"Meningococcal disease, invasive¶¶, other serogroup",2014,18,,-,5,,0,,16,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,18,7,,110,,7,,303,,260,,323,,406,,482,,"MA (1 ), NY (1 ), MD (1 ), VA (1 ), FL (1 ), TX (1 ), CA (1 )"
Novel influenza A virus infections***,2014,18,,-,,-,256,,21,,313,,14,,4,,43774,,
Plague,2014,18,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,18,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,18,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,18,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,18,1,,33,,3,,164,,135,,134,,131,,113,,
Smallpox§,2014,23,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute",2014,18,,-,23,,3,,125,,113,,110,,106,,93,,
"Q fever, chronic",2014,18,1,,10,,0,,39,,22,,24,,25,,20,,OH (1 )
"Rabies, human",2014,18,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,18,,-,1,,0,,11,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,18,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,18,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,18,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,18,1,,53,,4,,204,,194,,168,,142,,161,,OH (1 )
Smallpox§,2014,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Syphilis, congenital (age <1 yr)§§§",2014,18,,-,23,,5,,180,,322,,360,,377,,423,,
Tetanus,2014,18,,-,5,,0,,24,,37,,36,,26,,18,,
Toxic-shock syndrome (staphylococcal)§,2014,18,,-,16,,1,,72,,65,,78,,82,,74,,
Trichinellosis,2014,18,1,,2,,0,,19,,18,,15,,7,,13,,WA (1 )
Tularemia,2014,18,,-,6,,3,,202,,149,,166,,124,,93,,
Typhoid fever,2014,18,2,,85,,6,,338,,354,,390,,467,,397,,"NYC (1 ), WA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,18,1,,62,,3,,236,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,18,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,18,3,,102,,11,,1190,,1111,,832,,846,,789,,"NY (1 ), FL (2 )"
Viral hemorrhagic fever¶¶¶,2014,18,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,18,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,19,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,19,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,19,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,19,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,19,,-,,-,,-,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,19,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,19,,-,34,,2,,153,,168,,153,,112,,118,,
"Botulism, foodborne",2014,19,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,19,,-,29,,2,,135,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,19,,-,5,,0,,14,,18,,32,,25,,25,,
Brucellosis,2014,19,1,,12,,3,,104,,114,,79,,115,,115,,FL (1 )
Chancroid,2014,19,,-,6,,0,,10,,15,,8,,24,,28,,
Cholera,2014,19,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,19,1,,20,,2,,787,,123,,151,,179,,141,,TX (1 )
Diphtheria,2014,19,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,19,,-,8,,0,,27,,30,,14,,23,,35,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), nonserotype b",2014,19,,-,64,,5,,210,,205,,145,,200,,236,,
"Haemophilus influenzae,** invasive disease (age <5 yrs), unknown serotype",2014,19,3,,106,,4,,201,,210,,226,,223,,178,,"PA (1 ), MD (1 ), CA (1 )"
Hansen disease§,2014,19,,-,16,,2,,75,,82,,82,,98,,103,,
Hantavirus pulmonary syndrome§,2014,19,,-,4,,1,,15,,30,,23,,20,,20,,
"Hemolytic uremic syndrome, postdiarrheal§",2014,19,2,,26,,5,,292,,274,,290,,266,,242,,"GA (1 ), TN (1 )"
SARS-CoV§,2014,39,,-,,-,,-,,-,,-,,-,,-,,-,
"Hepatitis B, virus infection perinatal",2014,19,,-,13,,1,,53,,40,,,U,,U,,U,
"Influenza-associated pediatric mortality§,††",2014,19,3,,85,,2,,164,,52,,118,,61,,358,,"MI (1 ), VA (1 ), NYC (1 )"
Leptospirosis,2014,19,,-,4,,0,,,NN,,NN,,NN,,NN,,NN,
Listeriosis,2014,19,9,,133,,12,,729,,727,,870,,821,,851,,"NY (1 ), NYC (1 ), PA (3 ), OH (1 ), MD (1 ), FL (2 )"
Measles§§,2014,19,27,,188,,5,,186,,55,,220,,63,,71,,OH (27 )
"Meningococcal disease, invasive¶¶, A, C, Y, and W-135",2014,19,,-,44,,5,,141,,161,,257,,280,,301,,
"Meningococcal disease, invasive¶¶, serogroup B",2014,19,,-,24,,3,,98,,110,,159,,135,,174,,
"Meningococcal disease, invasive¶¶, other serogroup",2014,19,,-,5,,0,,18,,20,,20,,12,,23,,
"Meningococcal disease, invasive¶¶, unknown serogroup",2014,19,6,,114,,7,,306,,260,,323,,406,,482,,"NYC (1 ), GA (1 ), FL (2 ), AL (1 ), ID (1 )"
Novel influenza A virus infections***,2014,19,,-,,-,328,,21,,313,,14,,4,,43774,,
Plague,2014,19,,-,,-,0,,4,,4,,3,,2,,8,,
"Poliomyelitis, paralytic",2014,19,,-,,-,,-,1,,,-,,-,,-,1,,
"Polio virus Infection, nonparalytic§",2014,19,,-,,-,,-,,-,,-,,-,,-,,-,
Psittacosis§,2014,19,,-,,-,0,,6,,2,,2,,4,,9,,
"Q fever, total§",2014,19,,-,34,,3,,163,,135,,134,,131,,113,,
"Q fever, acute",2014,19,,-,24,,3,,122,,113,,110,,106,,93,,
"Q fever, chronic",2014,19,,-,10,,0,,41,,22,,24,,25,,20,,
"Rabies, human",2014,19,,-,,-,0,,,-,1,,6,,2,,4,,
Rubella†††,2014,19,,-,1,,0,,10,,9,,4,,5,,3,,
"Rubella, congenital syndrome",2014,19,,-,,-,,-,1,,3,,,-,,-,2,,
SARS-CoV§,2014,19,,-,,-,,-,,-,,-,,-,,-,,-,
Smallpox§,2014,19,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome§,2014,19,,-,54,,5,,206,,194,,168,,142,,161,,
"Syphilis, congenital (age <1 yr)§§§",2014,19,,-,39,,6,,187,,322,,360,,377,,423,,
Tetanus,2014,19,1,,6,,1,,25,,37,,36,,26,,18,,TX (1 )
Toxic-shock syndrome (staphylococcal)§,2014,19,,-,16,,2,,72,,65,,78,,82,,74,,
Trichinellosis,2014,19,,-,2,,0,,19,,18,,15,,7,,13,,
Tularemia,2014,19,3,,9,,4,,203,,149,,166,,124,,93,,MO (3 )
Typhoid fever,2014,19,3,,88,,7,,336,,354,,390,,467,,397,,"NYC (1 ), MO (1 ), GA (1 )"
Vancomycin-intermediate Staphylococcus aureus§,2014,19,1,,66,,3,,243,,134,,82,,91,,78,,MO (1 )
Vancomycin-resistant Staphylococcus aureus§,2014,19,,-,,-,,-,,-,2,,,-,2,,1,,
Vibriosis (noncholera Vibrio species infections)§,2014,19,9,,113,,12,,1196,,1111,,832,,846,,789,,"VA (1 ), FL (6 ), TN (1 ), TX (1 )"
Viral hemorrhagic fever¶¶¶,2014,19,,-,,-,,-,,-,,-,,-,1,,,NN,
Yellow fever,2014,19,,-,,-,,-,,-,,-,,-,,-,,-,
Anthrax,2014,20,,-,,-,,-,,-,,-,1,,,-,1,,
"Arboviral diseases, California serogroup virus disease§,¶",2014,20,,-,,-,0,,85,,81,,137,,75,,55,,
"Arboviral diseases, Eastern equine encephalitis virus disease§,¶",2014,20,,-,,-,,-,7,,15,,4,,10,,4,,
"Arboviral diseases, Powassan virus disease§,¶",2014,20,,-,,-,0,,15,,7,,16,,8,,6,,
"Arboviral diseases, St. Louis encephalitis virus disease§,¶",2014,20,,-,,-,,-,1,,3,,6,,10,,12,,
"Arboviral diseases, Western equine encephalitis virus disease§,¶",2014,20,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2014,20,,-,34,,3,,151,,168,,153,,112,,118,,
"Botulism, foodborne",2014,20,,-,,-,0,,4,,27,,24,,7,,10,,
"Botulism, infant",2014,20,,-,29,,2,,135,,123,,97,,80,,83,,
"Botulism, other (wound and unspecified)",2014,20,,-,5,,0,,12,,18,,32,,25,,25,,
Brucellosis,2014,20,,-,13,,3,,102,,114,,79,,115,,115,,
Chancroid,2014,20,,-,8,,0,,11,,15,,8,,24,,28,,
Cholera,2014,20,,-,,-,0,,3,,17,,40,,13,,10,,
Cyclosporiasis§,2014,20,,-,20,,3,,786,,123,,151,,179,,141,,
Diphtheria,2014,20,,-,,-,,-,,-,1,,,-,,-,,-,
"Haemophilus influenzae,** invasive disease (age <5 yrs), serotype b",2014,20,1,,11,,0,,31,,30,,14,,23,,35,,WA (1 )
