Disease,MMWR year,MMWR week,Current week,"Current week, flag",Cum 2017,"Cum 2017, flag",5-year weekly average§,"5-year weekly average§, flag",Total cases reported  2016,"Total cases reported  2016, flag",Total cases reported 2015,"Total cases reported 2015, flag",Total cases reported 2014,"Total cases reported 2014, flag",Total cases reported 2013,"Total cases reported 2013, flag",Total cases reported 2012,"Total cases reported 2012, flag",States reporting cases during current week (No.) 
"Arboviral diseases¶,** La Crosse virus disease",2017,14,,-,,-,,-,35,,55,,80,,85,,78,,
Vancomycin-resistant Staphylococcus aureus**,2017,15,,-,,-,,-,,-,3,,,-,,-,2,,
Chancroid,2017,14,,-,5,,0,,9,,11,,,-,,-,15,,
"Syphilis, congenital¶¶¶",2017,14,,-,85,,8,,525,,493,,458,,348,,322,,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,14,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,14,,-,,-,0,,8,,23,,10,,1,,3,,
Hansen's disease**,2017,14,,-,17,,1,,75,,89,,88,,81,,82,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017,14,,-,,-,0,,17,,7,,8,,12,,7,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,14,1,,4,,0,,22,,29,,40,,31,,30,,MT (1 )
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,15,,-,,-,,-,7,,6,,8,,8,,15,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,14,3,,65,,4,,256,,167,,39,,34,,37,,"PA (2 ), OH (1 )"
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,15,,-,2,,1,,17,,21,,25,,17,,20,,
Vancomycin-intermediate Staphylococcus aureus**,2017,14,1,,18,,4,,110,,183,,212,,248,,134,,MO (1 )
Typhoid fever (caused by Salmonella typhi),2017,14,4,,69,,6,,356,,367,,349,,338,,354,,"RI (1 ), FL (2 ), TX (1 )"
"Viral hemorrhagic fever****, Lassa fever",2017,15,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,14,,-,,-,,-,8,,11,,11,,22,,2,,
Yellow fever,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,
Streptococcal toxic-shock syndrome**,2017,14,2,,60,,8,,291,,335,,259,,224,,194,,"OH (1 ), VA (1 )"
"Viral hemorrhagic fever****, Lujo virus",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Lassa fever",2017,14,,-,,-,,-,,-,1,,1,,,NP,,NP,
Diphtheria,2017,15,,-,,-,0,,,-,,-,1,,,-,1,,
Vancomycin-resistant Staphylococcus aureus**,2017,14,,-,,-,,-,,-,3,,,-,,-,2,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,14,,-,2,,1,,17,,21,,25,,17,,20,,
Cholera,2017,15,,-,,-,0,,3,,5,,5,,14,,17,,
Tularemia,2017,15,1,,6,,2,,225,,314,,180,,203,,149,,MO (1 )
Trichinellosis**,2017,14,,-,5,,0,,29,,14,,14,,22,,18,,
"Botulism, other (wound and unspecified)",2017,14,,-,3,,1,,26,,20,,19,,12,,18,,
Listeriosis,2017,15,2,,128,,11,,794,,768,,769,,735,,727,,"NYC (1 ), FL (1 )"
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,15,,-,2,,1,,15,,21,,32,,21,,30,,
"Q fever, chronic**",2017,14,,-,10,,1,,42,,34,,36,,33,,22,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,14,,-,1,,1,,15,,21,,32,,21,,30,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,14,,-,,-,,-,3,,3,,,NN,,NN,,NN,
Diphtheria,2017,14,,-,,-,,-,,-,,-,1,,,-,1,,
"Botulism, total",2017,14,,-,26,,4,,214,,195,,161,,152,,168,,
"Q fever, chronic**",2017,15,,-,11,,1,,41,,34,,36,,33,,22,,
Novel influenza A virus infections§§§,2017,15,,-,,-,0,,23,,7,,3,,21,,313,,
Cholera,2017,14,,-,,-,0,,3,,5,,5,,14,,17,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,14,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Arboviral diseases¶,** Powassan virus disease",2017,15,,-,,-,0,,17,,7,,8,,12,,7,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,15,1,,66,,5,,168,,120,,196,,298,,260,,OR (1 )
Chancroid,2017,15,,-,5,,0,,8,,11,,,-,,-,15,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,15,,-,23,,3,,75,,111,,89,,99,,110,,
SARS-CoV,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Chikungunya virus disease",2017,14,,-,5,,2,,208,,896,,,NN,,NN,,NN,
"Q fever, total**",2017,15,,-,22,,4,,177,,156,,168,,170,,135,,
Brucellosis,2017,15,,-,18,,3,,128,,126,,92,,99,,114,,
"Botulism, infant",2017,14,,-,23,,3,,156,,138,,127,,136,,123,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,14,,-,17,,3,,110,,120,,123,,142,,161,,
"Botulism, foodborne",2017,15,,-,,-,1,,32,,37,,15,,4,,27,,
"Botulism, foodborne",2017,14,,-,,-,1,,32,,37,,15,,4,,27,,
Toxic-shock syndrome (other than staphylococcal)**,2017,14,3,,4,,1,,46,,64,,59,,71,,65,,"NY (1 ), TN (1 ), CO (1 )"
"Viral hemorrhagic fever****, Marburg fever",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Chikungunya virus disease",2017,15,,-,5,,2,,227,,896,,,NN,,NN,,NN,
Streptococcal toxic-shock syndrome**,2017,15,6,,70,,8,,292,,335,,259,,224,,194,,"NY (1 ), TN (1 ), ID (2 ), CO (1 ), NV (1 )"
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,15,,-,4,,1,,23,,29,,40,,31,,30,,
Smallpox,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017,15,,-,29,,4,,214,,195,,161,,152,,168,,
Typhoid fever (caused by Salmonella typhi),2017,15,,-,69,,6,,357,,367,,349,,338,,354,,
"Viral hemorrhagic fever****, Lujo virus",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Yellow fever,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,
Vancomycin-intermediate Staphylococcus aureus**,2017,15,,-,19,,5,,110,,183,,212,,248,,134,,
"Q fever, acute**",2017,14,,-,12,,3,,138,,122,,132,,137,,113,,
"Q fever, acute**",2017,15,,-,11,,3,,136,,122,,132,,137,,113,,
"Polio virus Infection, nonparalytic**",2017,15,,-,,-,,-,,-,,-,,-,,-,,-,
Measles***,2017,15,1,,33,,3,,83,,188,,667,,187,,55,,FL (1 )
Toxic-shock syndrome (other than staphylococcal)**,2017,15,,-,3,,1,,46,,64,,59,,71,,65,,
"Arboviral diseases¶,** La Crosse virus disease",2017,15,,-,,-,,-,35,,55,,80,,85,,78,,
"Poliomyelitis, paralytic",2017,14,,-,,-,,-,,-,,-,,-,1,,,-,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Anthrax,2017,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Hemolytic uremic syndrome, postdiarrheal**",2017,15,6,,48,,4,,288,,274,,250,,329,,274,,"AR (1 ), OK (4 ), OR (1 )"
"Poliomyelitis, paralytic",2017,15,,-,,-,,-,,-,,-,,-,1,,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,15,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,14,,-,,-,,-,7,,6,,8,,8,,15,,
"Hepatitis B, perinatal virus infection§§",2017,15,,-,3,,1,,31,,37,,47,,48,,40,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,15,1,,40,,2,,133,,135,,266,,233,,263,,OK (1 )
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,14,3,,63,,5,,168,,120,,196,,298,,260,,"OH (1 ), FL (1 ), WA (1 )"
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,15,,-,,-,0,,8,,23,,10,,1,,3,,
Psittacosis**,2017,14,,-,2,,0,,13,,4,,8,,6,,2,,
Smallpox,2017,14,,-,,-,,-,,-,,-,,-,,-,,-,
Cyclosporiasis**,2017,14,,-,5,,1,,517,,645,,388,,784,,123,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,15,,-,,-,,-,8,,11,,11,,22,,2,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Trichinellosis**,2017,15,,-,3,,0,,27,,14,,14,,22,,18,,
"Botulism, infant",2017,15,,-,26,,3,,156,,138,,127,,136,,123,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,15,,-,,-,,-,3,,3,,,NN,,NN,,NN,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,14,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,15,,-,35,,4,,157,,175,,128,,141,,115,,
Plague,2017,14,,-,,-,0,,,-,16,,10,,4,,4,,
"Influenza-associated pediatric mortality**,¶¶",2017,14,5,,73,,4,,83,,130,,141,,160,,52,,"NC (1 ), FL (2 ), NYC (1 ), WA (1 )"
"Hepatitis B, perinatal virus infection§§",2017,14,,-,2,,1,,32,,37,,47,,48,,40,,
Brucellosis,2017,14,,-,17,,2,,128,,126,,92,,99,,114,,
"Rabies, human",2017,14,,-,,-,0,,,-,2,,1,,2,,1,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,15,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Botulism, other (wound and unspecified)",2017,15,,-,3,,0,,26,,20,,19,,12,,18,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,14,,-,37,,2,,134,,135,,266,,233,,263,,
"Viral hemorrhagic fever****, Marburg fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,14,1,,21,,3,,75,,111,,89,,99,,110,,OH (1 )
Cyclosporiasis**,2017,15,,-,6,,1,,518,,645,,388,,784,,123,,
"Rabies, human",2017,15,,-,,-,0,,,-,2,,1,,2,,1,,
"Q fever, total**",2017,14,,-,22,,3,,180,,156,,168,,170,,135,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,14,1,,42,,4,,286,,274,,250,,329,,274,,OH (1 )
"Syphilis, congenital¶¶¶",2017,16,,-,105,,7,,529,,493,,458,,348,,322,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,16,,-,,-,,-,8,,11,,11,,22,,2,,
"Hemolytic uremic syndrome, postdiarrheal**",2017,16,,-,52,,4,,286,,274,,250,,329,,274,,
"Viral hemorrhagic fever****, Lujo virus",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,16,,-,,-,,-,7,,6,,8,,8,,15,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Poliomyelitis, paralytic",2017,16,,-,,-,,-,,-,,-,,-,1,,,-,
Psittacosis**,2017,16,,-,2,,0,,12,,4,,8,,6,,2,,
"Botulism, infant",2017,16,1,,30,,3,,133,,138,,127,,136,,123,,PA (1 )
Trichinellosis**,2017,16,,-,3,,0,,25,,14,,14,,22,,18,,
Smallpox,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2017,16,,-,5,,0,,8,,11,,,-,,-,15,,
Plague,2017,16,,-,,-,0,,,-,16,,10,,4,,4,,
"Zika virus disease, non-congenital††††  ",2017,16,1,,141,,16,,5035,,,NN,,NN,,NN,,NN,TX (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,16,,-,38,,4,,150,,175,,128,,141,,115,,
"Polio virus Infection, nonparalytic**",2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017,16,5,,138,,11,,719,,768,,769,,735,,727,,"NYC (1 ), PA (1 ), OH (1 ), MD (1 ), ID (1 )"
Diphtheria,2017,16,,-,,-,0,,,-,,-,1,,,-,1,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,16,,-,3,,0,,20,,21,,25,,17,,20,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,16,,-,2,,1,,15,,21,,32,,21,,30,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,16,1,,18,,3,,112,,120,,123,,142,,161,,TX (1 )
Leptospirosis**,2017,16,,-,15,,0,,74,,40,,38,,,NN,,NN,
"Arboviral diseases¶,** Powassan virus disease",2017,16,,-,,-,0,,17,,7,,8,,12,,7,,
Toxic-shock syndrome (other than staphylococcal)**,2017,16,1,,4,,1,,40,,64,,59,,71,,65,,NE (1 )
Cholera,2017,16,,-,,-,0,,3,,5,,5,,14,,17,,
Novel influenza A virus infections§§§,2017,16,,-,,-,0,,23,,7,,3,,21,,313,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,16,,-,4,,1,,23,,29,,40,,31,,30,,
Anthrax,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2017,16,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute**",2017,16,1,,14,,3,,126,,122,,132,,137,,113,,KY (1 )
"Viral hemorrhagic fever****, Lassa fever",2017,16,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017,16,,-,3,,1,,29,,37,,47,,48,,40,,
Cyclosporiasis**,2017,16,,-,7,,1,,512,,645,,388,,784,,123,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,4,,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Brucellosis,2017,16,,-,19,,3,,125,,126,,92,,99,,114,,
"Rabies, human",2017,16,,-,,-,,-,,-,2,,1,,2,,1,,
Typhoid fever (caused by Salmonella typhi),2017,16,,-,71,,7,,339,,367,,349,,338,,354,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,16,,-,5,,2,,227,,896,,,NN,,NN,,NN,
Vancomycin-resistant Staphylococcus aureus**,2017,16,,-,,-,,-,,-,3,,,-,,-,2,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,16,,-,,-,0,,8,,23,,10,,1,,3,,
"Q fever, total**",2017,16,2,,23,,4,,160,,156,,168,,170,,135,,
"Botulism, foodborne",2017,16,,-,,-,1,,32,,37,,15,,4,,27,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,16,1,,66,,4,,156,,120,,196,,298,,260,,VA (1 )
"Influenza-associated pediatric mortality**,¶¶",2017,16,6,,84,,3,,83,,130,,141,,160,,52,,"MI (1 ), SC (1 ), FL (2 ), MS (1 ), CO (1 )"
Vancomycin-intermediate Staphylococcus aureus**,2017,16,,-,20,,4,,107,,183,,212,,248,,134,,
Hansen's disease**,2017,16,,-,23,,1,,73,,89,,88,,81,,82,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,16,,-,41,,1,,131,,135,,266,,233,,263,,
Tularemia,2017,16,1,,9,,3,,235,,314,,180,,203,,149,,OK (1 )
Measles***,2017,16,1,,39,,4,,83,,188,,667,,187,,55,,NE (1 )
"Botulism, total",2017,16,1,,33,,4,,192,,195,,161,,152,,168,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,16,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus disease",2017,16,,-,,-,,-,35,,55,,80,,85,,78,,
"Q fever, chronic**",2017,16,1,,9,,1,,34,,34,,36,,33,,22,,KY (1 )
Streptococcal toxic-shock syndrome**,2017,16,2,,80,,8,,283,,335,,259,,224,,194,,ME (2 )
"Botulism, other (wound and unspecified)",2017,16,,-,3,,0,,27,,20,,19,,12,,18,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,16,5,,83,,4,,229,,167,,39,,34,,37,,"MO (2 ), FL (1 ), AZ (2 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,16,,-,24,,3,,71,,111,,89,,99,,110,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,16,,-,,-,,-,3,,3,,,NN,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus disease",2017,17,,-,,-,0,,35,,55,,80,,85,,78,,
Plague,2017,17,,-,,-,0,,,-,16,,10,,4,,4,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,17,,-,,-,0,,3,,3,,,NN,,NN,,NN,
Typhoid fever (caused by Salmonella typhi),2017,17,,-,78,,6,,347,,367,,349,,338,,354,,
Cholera,2017,17,,-,,-,0,,2,,5,,5,,14,,17,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017,17,,-,4,,1,,24,,29,,40,,31,,30,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,17,,-,,-,,-,7,,6,,8,,8,,15,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,17,3,,69,,4,,159,,120,,196,,298,,260,,"TX (2 ), CA (1 )"
"Zika virus disease, non-congenital††††  ",2017,17,,-,146,,17,,5040,,,NN,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017,17,,-,,-,0,,23,,7,,3,,21,,313,,
"Poliomyelitis, paralytic",2017,17,,-,,-,,-,,-,,-,,-,1,,,-,
"Q fever, chronic**",2017,17,,-,9,,1,,35,,34,,36,,33,,22,,
Tularemia,2017,17,1,,11,,3,,235,,314,,180,,203,,149,,MO (1 )
"Hepatitis B, perinatal virus infection§§",2017,17,,-,3,,1,,30,,37,,47,,48,,40,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,17,,-,5,,2,,227,,896,,,NN,,NN,,NN,
Psittacosis**,2017,17,,-,2,,0,,12,,4,,8,,6,,2,,
"Botulism, infant",2017,17,1,,31,,3,,141,,138,,127,,136,,123,,WA (1 )
Brucellosis,2017,17,2,,22,,3,,131,,126,,92,,99,,114,,"NYC (1 ), TX (1 )"
Yellow fever,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017,17,,-,,-,0,,,-,,-,1,,,-,1,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,17,,-,2,,1,,15,,21,,32,,21,,30,,
"Viral hemorrhagic fever****, Lassa fever",2017,17,,-,,-,,-,,-,1,,1,,,NP,,NP,
"Q fever, total**",2017,17,2,,31,,4,,165,,156,,168,,170,,135,,
"Syphilis, congenital¶¶¶",2017,17,,-,115,,7,,551,,493,,458,,348,,322,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2017,17,,-,22,,4,,106,,183,,212,,248,,134,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,4,,,NP,,NP,
Smallpox,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2017,17,1,,16,,1,,73,,40,,38,,,NN,,NN,NYC (1 )
Streptococcal toxic-shock syndrome**,2017,17,3,,86,,8,,291,,335,,259,,224,,194,,"RI (2 ), OH (1 )"
SARS-CoV,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute**",2017,17,2,,22,,3,,130,,122,,132,,137,,113,,"PA (1 ), ID (1 )"
"Rabies, human",2017,17,,-,,-,,-,,-,2,,1,,2,,1,,
Cyclosporiasis**,2017,17,,-,10,,1,,497,,645,,388,,784,,123,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017,17,3,,54,,5,,297,,274,,250,,329,,274,,"MO (1 ), NE (1 ), FL (1 )"
"Botulism, total",2017,17,1,,35,,4,,200,,195,,161,,152,,168,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017,17,10,,93,,3,,83,,130,,141,,160,,52,,"MA (1 ), IN (1 ), MD (2 ), NC (1 ), FL (1 ), TX (1 ), CA (1 ), WA (2 )"
Toxic-shock syndrome (other than staphylococcal)**,2017,17,,-,7,,1,,42,,64,,59,,71,,65,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017,17,,-,,-,0,,8,,23,,10,,1,,3,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,17,,-,19,,3,,105,,120,,123,,142,,161,,
Trichinellosis**,2017,17,,-,3,,0,,26,,14,,14,,22,,18,,
Hansen's disease**,2017,17,,-,25,,1,,77,,89,,88,,81,,82,,
Measles***,2017,17,4,,55,,5,,81,,188,,667,,187,,55,,MN (4 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017,17,1,,46,,1,,131,,135,,266,,233,,263,,NE (1 )
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017,17,,-,,-,,-,8,,11,,11,,22,,2,,
Listeriosis,2017,17,10,,151,,11,,751,,768,,769,,735,,727,,"NYC (3 ), MD (1 ), FL (3 ), CO (1 ), NV (1 ), OR (1 )"
Chancroid,2017,17,,-,6,,0,,8,,11,,,-,,-,15,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,17,,-,3,,0,,21,,21,,25,,17,,20,,
"Botulism, other (wound and unspecified)",2017,17,,-,4,,0,,27,,20,,19,,12,,18,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic**",2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lujo virus",2017,17,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017,17,6,,88,,4,,239,,167,,39,,34,,37,,"NYC (1 ), PA (1 ), OH (1 ), TX (2 ), UT (1 )"
"Arboviral diseases¶,** Powassan virus disease",2017,17,,-,,-,0,,17,,7,,8,,12,,7,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017,17,,-,40,,4,,149,,175,,128,,141,,115,,
"Botulism, foodborne",2017,17,,-,,-,1,,32,,37,,15,,4,,27,,
Vancomycin-resistant Staphylococcus aureus**,2017,17,,-,,-,,-,,-,3,,,-,,-,2,,
Anthrax,2017,17,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,17,,-,24,,3,,74,,111,,89,,99,,110,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017,18,,-,,-,,-,7,,6,,8,,8,,15,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017,18,,-,22,,3,,104,,120,,123,,142,,161,,
"Botulism, other (wound and unspecified)",2017,18,,-,4,,0,,26,,20,,19,,12,,18,,
Chancroid,2017,18,,-,7,,0,,7,,11,,,-,,-,15,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017,18,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017,18,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017,18,,-,26,,3,,73,,111,,89,,99,,110,,
Cyclosporiasis**,2017,18,,-,13,,2,,497,,645,,388,,784,,123,,
Leptospirosis**,2017,18,,-,16,,1,,73,,40,,38,,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal**",2017,18,,-,56,,5,,297,,274,,250,,329,,274,,
Diphtheria,2017,18,,-,,-,0,,,-,,-,1,,,-,1,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017,18,2,,72,,5,,159,,120,,196,,298,,260,,"TX (1 ), OR (1 )"
Brucellosis,2017,18,3,,29,,3,,131,,126,,92,,99,,114,,"MD (1 ), TX (1 ), AZ (1 )"
Yellow fever,2017,18,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017,18,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017,18,,-,4,,0,,20,,21,,25,,17,,20,,
"Arboviral diseases¶,** Chikungunya virus disease",2017,18,,-,7,,3,,244,,896,,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017,18,1,,1,,0,,23,,7,,3,,21,,313,,TX (1 )
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017,18,,-,2,,1,,15,,21,,32,,21,,30,,
"Hantavirus**, Hantavirus infection, non-HPS",2017,18,,-,,-,0,,3,,3,,,NN,,NN,,NN,
Measles***,2017,18,1,,58,,6,,81,,188,,667,,187,,55,,MN (1 )
Trichinellosis**,2017,18,,-,3,,0,,25,,14,,14,,22,,18,,
Hansen's disease**,2017,18,,-,25,,2,,76,,89,,88,,81,,82,,
"Influenza-associated pediatric mortality**,¶¶",2017,18,2,,95,,3,,83,,130,,141,,160,,52,,"OH (1 ), TX (1 )"
Typhoid fever (caused by Salmonella typhi),2017,18,4,,85,,6,,357,,367,,349,,338,,354,,"MD (1 ), WA (3 )"
Listeriosis,2017,18,7,,161,,11,,752,,768,,769,,735,,727,,"ME (1 ), NY (2 ), OH (1 ), WA (3 )"
"Poliomyelitis, paralytic",2017,18,,-,,-,,-,,-,,-,,-,1,,,-,
"Q fever, total**",2017,18,1,,34,,4,,162,,156,,168,,170,,135,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017,18,,-,,-,,-,,-,,-,,NP,,NP,,NP,
